C0220597	Adult Hodgkin Lymphoma
C0266092	Congenital lip pits
C0030312	Pancytopenia
C0086189	Drug Withdrawal Symptoms
C0576612	Reflex, Anal, Absent
C0340544	Pulmonary arterial hypertension induced by drug
C4274761	Autosomal dominant spondylocostal dysostosis
C0340543	Familial primary pulmonary hypertension
C0002991	Cutaneous Fibrous Histiocytoma
C0340548	Pulmonary capillary hemangiomatosis
C0024440	Macular Edema, Cystoid
C0240952	Dysarthria, Scanning
C1843013	Alzheimer disease, familial, type 3
C0267412	Mesenteric Venous Thrombosis
C1843542	T-CELL PROLYMPHOCYTIC LEUKEMIA, SOMATIC
C1843015	Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia
C3150967	KLIPPEL-FEIL SYNDROME 3, AUTOSOMAL DOMINANT
C0751470	Palmo-Mental Reflex
C1842763	SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION
C3808397	CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 1
C3150969	MICROPHTHALMIA, ISOLATED 7
C3150968	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6
C4014970	ADAMS-OLIVER SYNDROME 5
C3534585	Infection caused by Norovirus
C0019158	Hepatitis
C0751589	Cancer, Supratentorial
C0751588	Benign Supratentorial Neoplasms
C0162666	Mitochondrial Encephalomyopathies
C0431128	Papillary craniopharyngioma
C0431129	Adamantinous Craniopharyngioma
C0019151	Hepatic Encephalopathy
C0008909	Claustrophobia
C0162668	Megaconial Myopathies
C0162669	Pleoconial Myopathies
C0751587	CADASIL Syndrome
C0751586	West Nile Fever Myelitis
C3837958	Diabetes Mellitus, Ketosis-Prone
C0431121	Clear Cell Meningioma
C3809624	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 18
C0162871	Aortic Aneurysm, Abdominal
C0279702	Conventional (Clear Cell) Renal Cell Carcinoma
C0041296	Tuberculosis
C0019489	Deficiency, Hexosediphosphatase
C4693912	LEUKODYSTROPHY, HYPOMYELINATING, 17
C4693546	NEURODEVELOPMENTAL DISORDER WITH POOR LANGUAGE AND LOSS OF HAND SKILLS
C0206694	Mucoepidermoid Carcinoma
C4693542	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 8
C1866656	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES (disorder)
C0563661	Hallucinations, Reflex
C3266076	Orofacial cleft
C0263313	Pemphigus Foliaceus
C1846689	MOYAMOYA DISEASE 2
C0751633	Carotid Artery Plaque
C0751635	Common Carotid Artery Stenosis
C0751634	Carotid Ulcer
C1853507	Mental Retardation, Short Stature, Facial Anomalies, and Joint Dislocations
C0751636	External Carotid Artery Stenosis
C1853509	Atrioventricular Septal Defect, Partial, with Heterotaxy Syndrome
C1853508	ATRIOVENTRICULAR SEPTAL DEFECT, SUSCEPTIBILITY TO, 2
C1846685	SPASTIC PARAPLEGIA 19, AUTOSOMAL DOMINANT (disorder)
C1868570	CHAR SYNDROME
C1868571	Highly arched eyebrow
C2751842	PARKINSON DISEASE 14, AUTOSOMAL RECESSIVE
C0398648	Posttransfusion purpura
C1866039	EPISODIC ATAXIA, TYPE 5
C4015409	OVARIAN DYSGENESIS 4
C2746083	DEAFNESS, AUTOSOMAL RECESSIVE 77 (disorder)
C0266483	Pachygyria
C0398641	Epstein syndrome (disorder)
C1845862	Creatine deficiency, X-linked
C3888271	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IID
C0042749	Viremia
C0021831	Intestinal Diseases
C0027404	Narcolepsy
C0001418	Adenocarcinoma
C4721453	Peripheral Nervous System Diseases
C4015405	BLEEDING DISORDER, PLATELET-TYPE, 19
C0001144	Acne Vulgaris
C0205769	Myxopapillary ependymoma
C0205768	Subependymal Giant Cell Astrocytoma
C1849437	Mainzer-Saldino Disease
C1849435	Renal tubular acidosis, distal, type 3
C0032310	Pneumonia, Viral
C3501830	Microcephaly, Primary Autosomal Recessive, 2
C1836724	CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 3 (disorder)
C1836727	Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, and Hirschsprung Disease
C3492944	Lentiginosis Profusa
C1836723	Tibia, Bowing of, with Pseudarthrosis and Pectus Excavatum
C3280721	CHILBLAIN LUPUS 2
C0003811	Cardiac Arrhythmia
C0003810	Sertoli-Leydig cell tumor of ovary
C0033958	Psychosis, Brief Reactive
C4539685	PITUITARY ADENOMA 5, MULTIPLE TYPES
C4087273	C3 glomerulopathy
C3554689	AGAMMAGLOBULINEMIA 7, AUTOSOMAL RECESSIVE
C1837091	MYASTHENIC SYNDROME, CONGENITAL, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR DEFICIENCY
C0003486	Aortic Aneurysm
C0033953	Psychosexual Disorders
C1837092	Myasthenic Syndrome, Congenital, with Facial Dysmorphism, associated with Acetylcholine Receptor Deficiency
C1858672	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 1
C1858673	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 2
C0153452	Malignant neoplasm of gallbladder
C0240327	Taste, Metallic
C1858674	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 3
C4517377	Coenzyme A synthase protein associated neurodegeneration
C4552030	Ciliary Dyskinesia, Primary, 7, With Or Without Situs Inversus
C1861380	Syndactyly, Type I
C1858679	CATARACT, AUTOSOMAL DOMINANT
C1861385	SYMPHALANGISM, PROXIMAL
C0037952	Spinocerebellar Degeneration
C3280284	MENTAL RETARDATION, AUTOSOMAL DOMINANT 10
C3280285	MENTAL RETARDATION, AUTOSOMAL DOMINANT 11
C3280282	NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL DOMINANT
C3280283	MENTAL RETARDATION, AUTOSOMAL DOMINANT 9
C1863239	Partial adenosine deaminase deficiency
C4021664	Abnormality of the abdominal wall
C1837615	Ciliary Dyskinesia, Primary, 5
C1863236	SCID Due to ADA Deficiency, Early-Onset
C3536984	Vitamin D-Resistant Rickets, X-Linked
C3279800	KEPPEN-LUBINSKY SYNDROME
C1876175	Ataxia-Telangiectasia Variant
C0268446	Thyrotoxic periodic paralysis
C0268336	Ehlers-Danlos syndrome type 2
C0268443	Acquired Nephrogenic Diabetes Insipidus
C2931230	Vacuolar myopathy
C0206682	Follicular thyroid carcinoma
C0206681	Adenocarcinoma, Clear Cell
C0268338	Ehlers-Danlos Syndrome, Type IV
C0342194	Thyroid Dyshormonogenesis 3
C0268448	Primary hypomagnesemia (disorder)
C0342196	Thyroid Dyshormonogenesis 5
C1850889	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2B
C3554306	EPILEPSY, NOCTURNAL FRONTAL LOBE, 5
C0752251	Muscle Disease Manifestations
C1867362	SEVERE COMBINED IMMUNODEFICIENCY, B CELL-NEGATIVE
C0236018	Aura
C2584774	Congenital hypofibrinogenemia
C0917730	Female sterility
C0917731	Male sterility
C0035335	Retinoblastoma
C0035334	Retinitis Pigmentosa
C0035333	Retinitis
C0600228	Cardiopulmonary Arrest
C0399440	Hereditary gingival fibromatosis
C0022578	Keratoconus
C0040715	Chromosomal translocation
C3494248	Organothiophosphate Poisoning
C1855346	MAST SYNDROME
C3494247	Organothiophosphonate Poisoning
C0019068	Reactive Hemophagocytic Syndrome
C1840452	Hyaloideoretinal degeneration of Wagner
C1840451	MULTICYSTIC RENAL DYSPLASIA, BILATERAL
C1848934	SPONDYLOCARPOTARSAL SYNOSTOSIS SYNDROME
C0265312	Brachydactyly syndrome type E
C0265313	Weill-Marchesani syndrome
C0265316	Neurocutaneous Syndromes
C1527303	Chronic Airflow Obstruction
C0265319	Fibrous skin tumor of tuberous sclerosis
C1527306	spasmus nutans
C1527304	Allergic Reaction
C0266667	Cyclocephaly
C2752042	Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi
C0006261	Bronchial Diseases
C0006267	Bronchiectasis
C3151356	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION
C3151355	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2A
C0878666	Analbuminemia
C3151351	DEAFNESS, AUTOSOMAL RECESSIVE 89
C1843225	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E (disorder)
C4015619	EPILEPSY, PROGRESSIVE MYOCLONIC, 8
C4015349	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2S
C0393778	Congenital anosmia
C1865409	Amyotrophic Lateral Sclerosis 4, Juvenile
C4015610	OSTEOGENESIS IMPERFECTA, TYPE XVI
C0041107	Trisomy
C0393770	Delayed Sleep Phase Syndrome
C1852510	Craniofacial deafness hand syndrome
C1412000	Mesenteric vascular insufficiency
C2751642	GLIOMA SUSCEPTIBILITY 2
C2751643	Glycogen Storage Disease IXC
C1167664	Situs ambiguous
C0041227	Trypanosomiasis
C1866182	Penttinen-Aula syndrome
C0751356	Idiopathic Inflammatory Myopathies
C0751357	Myositis, Focal
C0751354	Myoclonus, Action
C0751355	Polymyoclonus
C0751352	Myoclonus, Nocturnal
C0751353	Myoclonus, Upper Extremity
C0751350	Myoclonus, Lower Extremity
C0751351	Myoclonus, Segmental
C0751358	Myotonic Phenomenon
C0751359	Percussion Myotonia
C4707897	Severe early-onset axonal neuropathy due to mitofusin 2 deficiency
C4310943	GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE
C1857618	Achromatopsia 2
C4049714	Familial Glucocorticoid Deficiency Type 2
C3463897	HYDATIDIFORM MOLE, RECURRENT, 1
C0020179	Huntington Disease
C3810332	AURICULOCONDYLAR SYNDROME 3
C4748552	NEPHROTIC SYNDROME, TYPE 19
C1853755	INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISM AND SPEECH DELAY
C4509020	Isolated bone marrow mastocytosis
C0398739	Congenital disorder of glycosylation, type 2C
C4707092	Distal 17p13.3 microdeletion syndrome
C1859538	Bare Lymphocyte Syndrome, Type II, Complementation Group E
C1846169	Myotubular Myopathy with Abnormal Genital Development
C0024809	Marijuana Abuse
C4225189	MICROCEPHALY, CONGENITAL CATARACT, AND PSORIASIFORM DERMATITIS
C4225188	MEIER-GORLIN SYNDROME 6
C4225187	EXERCISE INTOLERANCE, RIBOFLAVIN-RESPONSIVE
C4225186	PARKINSON DISEASE 23, AUTOSOMAL RECESSIVE EARLY-ONSET
C4225184	LYMPHATIC MALFORMATION 6
C4225183	BRACHYDACTYLY, TYPE A1, D
C4225182	CATARACT 45
C4225181	MYOPATHY, SCAPULOHUMEROPERONEAL
C4225180	EVEN-PLUS SYNDROME
C0521802	Congenital atransferrinemia
C0000737	Abdominal Pain
C4014563	HYPOTRICHOSIS 12
C1832940	JUVENILE POLYPOSIS OF STOMACH
C1832942	JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME (disorder)
C4539896	NEPHROTIC SYNDROME, TYPE 15
C4721845	Marfan Syndrome, Type I
C0853897	Diabetic Cardiomyopathies
C3150700	MENTAL RETARDATION, AUTOSOMAL DOMINANT 20
C0267537	Typhlitis
C4693371	MENTAL RETARDATION, AUTOSOMAL DOMINANT 55, WITH SEIZURES
C1842687	PONTOCEREBELLAR HYPOPLASIA TYPE 3 (disorder)
C4693376	DEVELOPMENTAL DELAY AND SEIZURES WITH OR WITHOUT MOVEMENT ABNORMALITIES
C0278622	Adult Malignant Peripheral Nerve Sheath Tumor
C0392164	Pulmonary Cystic Fibrosis
C0234985	Mental deterioration
C0015378	Extravasation of Contrast Media
C2673266	KRABBE DISEASE, ATYPICAL, DUE TO SAPOSIN A DEFICIENCY
C0600177	Low Cardiac Output Syndrome
C1970712	Multiple Endocrine Neoplasia, Type IV
C0036202	Sarcoidosis
C1854990	Molybdenum Cofactor Deficiency, Complementation Group C
C0018614	Hashish Abuse
C1854260	LEBER CONGENITAL AMAUROSIS 6 (disorder)
C0339534	Usher syndrome type 2
C0339535	Night blindness, congenital stationary
C3553656	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VB
C0339537	Cone monochromatism
C0042029	Urinary tract infection
C0152268	Nodular Sclerosis Classical Hodgkin Lymphoma
C0152264	Familial erythrocytosis
C0152267	Hodgkin lymphoma, lymphocyte depletion
C0152266	Mixed Cellularity Hodgkin Lymphoma
C0339539	Familial Exudative Vitreoretinopathy
C0541798	Early Awakening
C0024121	Lung Neoplasms
C0743002	Abnormal Deep Tendon Reflex
C0005745	Blepharoptosis
C0005747	Blepharospasm
C3151519	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 3
C1744559	Congenital ectodermal dysplasia of face
C2750850	GLIOMA SUSCEPTIBILITY 1
C0746787	Cancer of Neck
C4748348	MICROCEPHALY, FACIAL DYSMORPHISM, RENAL AGENESIS, AND AMBIGUOUS GENITALIA SYNDROME
C0410207	Tubular Aggregate Myopathy
C0410204	Myopathy, Centronuclear, Autosomal Recessive
C0410203	X-linked centronuclear myopathy
C1527311	Brain Edema
C3553735	Microcephaly in adulthood
C0086457	Industrial Dermatosis
C3808876	PALMOPLANTAR CARCINOMA, MULTIPLE SELF-HEALING
C3808874	ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 2
C0220730	Fryns syndrome
C0022387	Jervell-Lange Nielsen Syndrome
C2751105	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3B (disorder)
C1708349	Hereditary Diffuse Gastric Cancer
C0334660	Angioendotheliomatosis
C0043194	Wiskott-Aldrich Syndrome
C3715156	AMYOTROPHIC LATERAL SCLEROSIS 20
C3715155	AMYOTROPHIC LATERAL SCLEROSIS 19
C0520731	Retraction Nystagmus
C0520739	Hereditary pyropoikilocytosis
C4727877	Epilepsy with myoclonic-atonic seizures
C1260873	Aortic valve disorder
C0339143	Thyroid associated opthalmopathies
C1838951	LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
C1140680	Malignant neoplasm of ovary
C2931426	Orofaciodigital syndrome type1
C4316899	Cystinosis
C0334488	Clear cell sarcoma of kidney
C1837461	SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 3
C0178824	Reactive Hyperemia
C2675730	Deafness, Congenital, and Onychodystrophy, Autosomal Dominant
C0342765	D-Glyceric aciduria
C1969562	Mental Retardation, Autosomal Dominant 1
C3179508	Aplasia/Hypoplasia of the thumb
C0263666	Dermatomyositis, Childhood Type
C1865870	Deafness, Autosomal Recessive 18
C1865871	HEMANGIOMA, CAPILLARY INFANTILE
C3179502	Linear Verrucous Epidermal Nevus
C1833561	UV-Sensitive Syndrome
C0005910	Body Weight
C4015420	EPILEPSY, PROGRESSIVE MYOCLONIC 7
C3150215	CHROMOSOME 6q24-q25 DELETION SYNDROME
C1841621	FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1
C2931689	Dystrophia myotonica 2
C1855119	Methylmalonic aciduria
C1855114	Methylmalonic Aciduria due to Methylmalonyl-CoA Mutase Deficiency
C0423618	Throbbing Headache
C1855116	Methylmalonic Aciduria, mut(-) Type
C3806275	DEAFNESS AND MYOPIA
C0029295	Oropharyngeal Neoplasms
C0029294	Orofaciodigital Syndromes
C3554499	MICROCEPHALY 10, PRIMARY, AUTOSOMAL RECESSIVE
C4540205	OOCYTE MATURATION DEFECT 3
C0268140	Xeroderma pigmentosum, group F
C0271388	Pendular Nystagmus
C0271389	Jerk Nystagmus
C1847667	CARDIOMYOPATHY, DILATED, 1L
C3502469	Brain Anomalies, Retardation, Ectodermal Dysplasia, Skeletal Malformations, Hirschsprung Disease, Ear-Eye Anomalies, Cleft Palate-Cryptorchidism, And Kidney Dysplasia-Hypoplasia
C2959886	Cardiopulmonary Exercise Test
C0271386	Vertical Nystagmus
C0271387	Rebound Nystagmus
C0271382	Periodic Alternating Nystagmus
C0271383	Symptomatic Nystagmus
C0079765	Lymphoma, Small Cleaved-Cell, Follicular
C0030807	Pemphigus
C0030804	Pemphigoid, Benign Mucous Membrane
C0030805	Bullous pemphigoid
C0030809	Pemphigus Vulgaris
C0220711	Long chain acyl-CoA dehydrogenase deficiency
C0220710	Medium-chain acyl-coenzyme A dehydrogenase deficiency
C0236807	Amphetamine Abuse
C0236804	Amphetamine Addiction
C0006079	Bowen's Disease
C1851120	Hypertrichosis Terminalis, Generalized, with or without Gingival Hyperplasia
C4015283	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 46
C4015285	CARDIAC CONDUCTION DISEASE WITH OR WITHOUT DILATED CARDIOMYOPATHY
C1851124	Desmoid disease, hereditary
C4015286	MACULAR DEGENERATION, EARLY-ONSET
C2677770	ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 7
C0009952	Febrile Convulsions
C2677774	Age-Related Macular Degeneration type 11
C0235574	Intravascular hemolysis
C0020542	Pulmonary Hypertension
C0020540	Malignant Hypertension
C0020541	Portal Hypertension
C0020544	Renal hypertension
C0020545	Hypertension, Renovascular
C0268164	Primary hyperoxaluria, type I
C0268165	Primary hyperoxaluria type 2
C0268162	Pentosuria
C0268160	Deficiency of fructokinase
C1720861	Familial Partial Lipodystrophy, Type 3
C1720860	Familial Partial Lipodystrophy, Type 2
C3489630	Somatotrophinoma, Familial
C1720862	Congenital Generalized Lipodystrophy Type 1
C1720864	Sulfatidosis, Juvenile, Austin Type
C4084842	JOUBERT SYNDROME 25
C3645711	Congenital Osteopetrosis
C4540389	JOUBERT SYNDROME 33
C0814154	Alcohol Related Neurodevelopmental Disorder
C0795934	Digitorenocerebral Syndrome
C1839736	WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME
C0265699	Congenital hernia of foramen of Morgagni
C1836295	SPASTIC PARAPLEGIA 28, AUTOSOMAL RECESSIVE (disorder)
C4540474	MENTAL RETARDATION, AUTOSOMAL DOMINANT 51
C4014488	PONTOCEREBELLAR HYPOPLASIA, TYPE 2E
C4479599	STANKIEWICZ-ISIDOR SYNDROME
C4540470	MENTAL RETARDATION, AUTOSOMAL DOMINANT 50
C3810294	SPASTIC PARAPLEGIA 61, AUTOSOMAL RECESSIVE
C4228778	Abnormality of radial ray
C3887929	DEAFNESS, AUTOSOMAL DOMINANT 27
C4540478	MENTAL RETARDATION, AUTOSOMAL DOMINANT 52
C1834481	CARDIOMYOPATHY, DILATED, 1S
C0337677	Moderate drinker
C0751832	Gait, Widebased
C0751831	Gait, Frontal
C3554524	MICROPHTHALMIA, ISOLATED 8
C0751837	Gait Ataxia
C0751836	Gait Ataxia, Sensory
C3554520	UROFACIAL SYNDROME 2
C1859317	Cataract and cardiomyopathy
C1859312	CAMFAK syndrome
C1859311	Microphthalmia, Isolated, with Cataract 2
C1395852	Polydactyly preaxial type 1
C0036920	Sezary Syndrome
C0036439	Scoliosis, unspecified
C1836336	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4H
C1832550	Lamellar ichthyosis, type 2
C0010314	Cri-du-Chat Syndrome
C1832884	Hemiplegic migraine, familial type 1
C3539123	CEROID LIPOFUSCINOSIS, NEURONAL, 11
C3539120	PROSTATE CANCER, HEREDITARY, 2
C4305140	12q14 microdeletion syndrome
C0021141	Inappropriate ADH Syndrome
C2749560	Methemoglobinemia, Type Ii
C2749561	Nadh-Cytochrome B5 Reductase Deficiency, Type I
C0399373	Amelogenesis imperfecta, hypomaturation hypoplasia type with taurodontism
C4692845	BLEPHAROSPASM, BENIGN ESSENTIAL, SUSCEPTIBILITY TO
C3809420	CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 4
C1846046	SPASTIC PARAPLEGIA 16, X-LINKED (disorder)
C3809394	DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3
C1843569	SPASTIC PARAPLEGIA 24, AUTOSOMAL RECESSIVE (disorder)
C4014958	GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 11
C1845530	Stocco dos Santos syndrome
C1845243	MENTAL RETARDATION, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE
C0004604	Back Pain
C1845539	AUTISM, X-LINKED, SUSCEPTIBILITY TO, 2 (finding)
C4014954	NEUTROPENIA, SEVERE CONGENITAL, 6, AUTOSOMAL RECESSIVE
C1956413	Taussig-Bing Anomaly
C1956412	Double Outlet Right Ventricle, Subpulmonary VSD
C1956411	Double Outlet Right Ventricle, Subaortic VSD
C3266898	Waardenburg Syndrome
C1956147	Microlissencephaly
C0008924	Cleft upper lip
C0008925	Cleft Palate
C0549473	Thyroid carcinoma
C0008928	Cleidocranial Dysplasia
C0393484	Rasmussen Syndrome
C3809645	BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 5
C3809641	CILIARY DYSKINESIA, PRIMARY, 25
C1867013	Increased risk of sudden cardiac death
C4693524	SHORT-RIB THORACIC DYSPLASIA 19 WITH OR WITHOUT POLYDACTYLY
C0342646	Vitamin D-Dependent Rickets, Type 2A
C4693523	AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 24
C1866636	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4C
C4229649	Heart defect (in some patients)
C4748058	PONTOCEREBELLAR HYPOPLASIA, TYPE 1D
C0267941	Pancreatitis, Acute Necrotizing
C3281138	CHROMOSOME 17q12 DELETION SYNDROME
C1853566	Genitopatellar Syndrome
C1853564	Developmental Delay, Epilepsy, and Neonatal Diabetes
C0751651	Mitochondrial Diseases
C1868594	Perry Syndrome
C1868595	PARKINSON DISEASE 1, AUTOSOMAL DOMINANT (disorder)
C1868597	Parietal Foramina With Cleidocranial Dysplasia
C1868598	PARIETAL FORAMINA
C0036690	Septicemia
C3150941	RUBINSTEIN-TAYBI SYNDROME 2
C3150943	Long Qt Syndrome 2
