GO:0034359	mature chylomicron
GO:0031004	potassium ion-transporting ATPase complex
GO:0061673	mitotic spindle astral microtubule
GO:0030061	mitochondrial crista
GO:0060077	inhibitory synapse
GO:0060076	excitatory synapse
GO:0097381	photoreceptor disc membrane
GO:0005721	pericentric heterochromatin
GO:0034388	Pwp2p-containing subcomplex of 90S preribosome
GO:0002116	semaphorin receptor complex
GO:0005726	perichromatin fibrils
GO:0097386	glial cell projection
GO:0097543	ciliary inversin compartment
GO:0097542	ciliary tip
GO:0097013	phagocytic vesicle lumen
GO:0097546	ciliary base
GO:0097545	axonemal outer doublet
GO:0043159	acrosomal matrix
GO:0060473	cortical granule
GO:0098636	protein complex involved in cell adhesion
GO:1990070	TRAPPI protein complex
GO:1990071	TRAPPII protein complex
GO:1990072	TRAPPIII protein complex
GO:1990075	periciliary membrane compartment
GO:0042405	nuclear inclusion body
GO:0042406	extrinsic component of endoplasmic reticulum membrane
GO:1990676	Golgi trans cisterna membrane
GO:1990674	Golgi cis cisterna membrane
GO:1990675	Golgi medial cisterna membrane
GO:0030665	clathrin-coated vesicle membrane
GO:0005585	collagen type II trimer
GO:0030667	secretory granule membrane
GO:0030666	endocytic vesicle membrane
GO:0030660	Golgi-associated vesicle membrane
GO:0030663	COPI-coated vesicle membrane
GO:0030662	coated vesicle membrane
GO:1902911	protein kinase complex
GO:0030669	clathrin-coated endocytic vesicle membrane
GO:0005589	collagen type VI trimer
GO:0009923	fatty acid elongase complex
GO:0009925	basal plasma membrane
GO:0030681	multimeric ribonuclease P complex
GO:0031390	Ctf18 RFC-like complex
GO:0031391	Elg1 RFC-like complex
GO:0044393	microspike
GO:0014069	postsynaptic density
GO:0030684	preribosome
GO:0035000	oligosaccharyltransferase III complex
GO:0045120	pronucleus
GO:0140552	TEAD-YAP complex
GO:0090658	cone matrix sheath
GO:0099544	perisynaptic space
GO:0031533	mRNA cap methyltransferase complex
GO:0099092	postsynaptic density, intracellular component
GO:0099091	postsynaptic specialization, intracellular component
GO:0099078	BORC complex
GO:0001739	sex chromatin
GO:0043626	PCNA complex
GO:0090724	central region of growth cone
GO:0090725	peripheral region of growth cone
GO:0045273	respiratory chain complex II
GO:0036157	outer dynein arm
GO:0036156	inner dynein arm
GO:0045277	respiratory chain complex IV
GO:0045275	respiratory chain complex III
GO:0070652	HAUS complex
GO:0008290	F-actin capping protein complex
GO:0032432	actin filament bundle
GO:0032433	filopodium tip
GO:0032389	MutLalpha complex
GO:0071920	cleavage body
GO:0097414	classical Lewy body
GO:0070435	Shc-EGFR complex
GO:0071439	clathrin complex
GO:0097729	9+2 motile cilium
GO:0150001	primary dendrite
GO:0150002	distal dendrite
GO:0097413	Lewy body
GO:0033093	Weibel-Palade body
GO:0005658	alpha DNA polymerase
GO:0001917	photoreceptor inner segment
GO:0045495	pole plasm
GO:1901588	dendritic microtubule
GO:1990879	CST complex
GO:0005856	cytoskeleton
GO:0043540	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex
GO:0043541	UDP-N-acetylglucosamine transferase complex
GO:0005852	eukaryotic translation initiation factor 3 complex
GO:0005853	eukaryotic translation elongation factor 1 complex
GO:0005850	eukaryotic translation initiation factor 2 complex
GO:0005851	eukaryotic translation initiation factor 2B complex
GO:0016282	eukaryotic 43S preinitiation complex
GO:0016281	eukaryotic translation initiation factor 4F complex
GO:0005858	axonemal dynein complex
GO:0005859	muscle myosin complex
GO:0071748	monomeric IgA immunoglobulin complex
GO:0030877	beta-catenin destruction complex
GO:0030870	Mre11 complex
GO:0033257	Bcl3/NF-kappaB2 complex
GO:0033256	I-kappaB/NF-kappaB complex
GO:1904423	dehydrodolichyl diphosphate synthase complex
GO:1990112	RQC complex
GO:1990111	spermatoproteasome complex
GO:0030478	actin cap
GO:0034715	pICln-Sm protein complex
GO:0005938	cell cortex
GO:0012506	vesicle membrane
GO:0012507	ER to Golgi transport vesicle membrane
GO:0034719	SMN-Sm protein complex
GO:0005930	axoneme
GO:1990026	hippocampal mossy fiber expansion
GO:0097629	extrinsic component of omegasome membrane
GO:0000235	astral microtubule
GO:0001518	voltage-gated sodium channel complex
GO:0031313	extrinsic component of endosome membrane
GO:0020005	symbiont-containing vacuole membrane
GO:0044207	translation initiation ternary complex
GO:0020003	symbiont-containing vacuole
GO:0031011	Ino80 complex
GO:0031010	ISWI-type complex
GO:0031012	extracellular matrix
GO:0030016	myofibril
GO:0030017	sarcomere
GO:0030014	CCR4-NOT complex
GO:0030015	CCR4-NOT core complex
GO:0042571	immunoglobulin complex, circulating
GO:0042575	DNA polymerase complex
GO:0030018	Z disc
GO:0005737	cytoplasm
GO:0005736	RNA polymerase I complex
GO:0002102	podosome
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex
GO:0005731	nucleolus organizer region
GO:0005730	nucleolus
GO:0043160	acrosomal lumen
GO:0005739	mitochondrion
GO:0097025	MPP7-DLG1-LIN7 complex
GO:1990682	CSF1-CSF1R complex
GO:0097539	ciliary transition fiber
GO:0030658	transport vesicle membrane
GO:0030659	cytoplasmic vesicle membrane
GO:0030128	clathrin coat of endocytic vesicle
GO:0030122	AP-2 adaptor complex
GO:0030123	AP-3 adaptor complex
GO:0005591	collagen type VIII trimer
GO:0030121	AP-1 adaptor complex
GO:0005597	collagen type XVI trimer
GO:0005596	collagen type XIV trimer
GO:1990667	PCSK9-AnxA2 complex
GO:1990666	PCSK9-LDLR complex
GO:0030496	midbody
GO:0097449	astrocyte projection
GO:0031389	Rad17 RFC-like complex
GO:0031838	haptoglobin-hemoglobin complex
GO:0097442	CA3 pyramidal cell dendrite
GO:0097443	sorting endosome
GO:0097440	apical dendrite
GO:0097441	basal dendrite
GO:0031380	nuclear RNA-directed RNA polymerase complex
GO:0097444	spine apparatus
GO:0032937	SREBP-SCAP-Insig complex
GO:0042709	succinate-CoA ligase complex
GO:0031088	platelet dense granule membrane
GO:0098835	presynaptic endocytic zone membrane
GO:0000779	condensed chromosome, centromeric region
GO:0000775	chromosome, centromeric region
GO:0000776	kinetochore
GO:0031528	microvillus membrane
GO:0000178	exosome (RNase complex)
GO:0090651	apical cytoplasm
GO:0000172	ribonuclease MRP complex
GO:0031523	Myb complex
GO:0045121	membrane raft
GO:0000176	nuclear exosome (RNase complex)
GO:0000177	cytoplasmic exosome (RNase complex)
GO:0031527	filopodium membrane
GO:0031526	brush border membrane
GO:0097209	epidermal lamellar body
GO:1905720	cytoplasmic microtubule bundle
GO:1905721	mitotic spindle astral microtubule end
GO:1990876	cytoplasmic side of nuclear pore
GO:0090734	site of DNA damage
GO:0090730	Las1 complex
GO:0001740	Barr body
GO:0001741	XY body
GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)
GO:0032421	stereocilium bundle
GO:0032420	stereocilium
GO:0032391	photoreceptor connecting cilium
GO:0032426	stereocilium tip
GO:0032398	MHC class Ib protein complex
GO:0000502	proteasome complex
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0071914	prominosome
GO:0070421	DNA ligase III-XRCC1 complex
GO:0072487	MSL complex
GO:0033063	Rad51B-Rad51C-Rad51D-XRCC2 complex
GO:0150014	apical distal dendrite
GO:0033065	Rad51C-XRCC3 complex
GO:0071598	neuronal ribonucleoprotein granule
GO:0070516	CAK-ERCC2 complex
GO:0031225	anchored component of membrane
GO:0035859	Seh1-associated complex
GO:0071595	Nem1-Spo7 phosphatase complex
GO:0042383	sarcolemma
GO:1904724	tertiary granule lumen
GO:0000127	transcription factor TFIIIC complex
GO:0097708	intracellular vesicle
GO:0005845	mRNA cap binding complex
GO:0044609	DBIRD complex
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex
GO:0030868	smooth endoplasmic reticulum membrane
GO:0005840	ribosome
GO:0030863	cortical cytoskeleton
GO:0005849	mRNA cleavage factor complex
GO:0005848	mRNA cleavage stimulating factor complex
GO:0030864	cortical actin cytoskeleton
GO:0033263	CORVET complex
GO:0031090	organelle membrane
GO:0033268	node of Ranvier
GO:0033269	internode region of axon
GO:0035631	CD40 receptor complex
GO:0071008	U2-type post-mRNA release spliceosomal complex
GO:0035632	mitochondrial prohibitin complex
GO:0071002	U4atac/U6atac snRNP
GO:0061474	phagolysosome membrane
GO:0071001	U4/U6 snRNP
GO:0071006	U2-type catalytic step 1 spliceosome
GO:0071007	U2-type catalytic step 2 spliceosome
GO:0071004	U2-type prespliceosome
GO:0071005	U2-type precatalytic spliceosome
GO:0005900	oncostatin-M receptor complex
GO:0005901	caveola
GO:0005902	microvillus
GO:0005903	brush border
GO:0005905	clathrin-coated pit
GO:0012510	trans-Golgi network transport vesicle membrane
GO:0043083	synaptic cleft
GO:0097631	integral component of omegasome membrane
GO:0097145	BAK complex
GO:0097144	BAX complex
GO:0097635	extrinsic component of autophagosome membrane
GO:0097637	integral component of autophagosome membrane
GO:0097140	BIM-BCL-xl complex
GO:0097149	centralspindlin complex
GO:0005971	ribonucleoside-diphosphate reductase complex
GO:0033565	ESCRT-0 complex
GO:0060053	neurofilament cytoskeleton
GO:0035032	phosphatidylinositol 3-kinase complex, class III
GO:0098890	extrinsic component of postsynaptic membrane
GO:0098892	extrinsic component of postsynaptic specialization membrane
GO:0098894	extrinsic component of presynaptic endocytic zone membrane
GO:0042568	insulin-like growth factor binary complex
GO:0042567	insulin-like growth factor ternary complex
GO:0097059	CNTFR-CLCF1 complex
GO:0042565	RNA nuclear export complex
GO:0042564	NLS-dependent protein nuclear import complex
GO:0030008	TRAPP complex
GO:0043194	axon initial segment
GO:0097038	perinuclear endoplasmic reticulum
GO:0002133	polycystin complex
GO:0005600	collagen type XIII trimer
GO:0097525	spliceosomal snRNP complex
GO:0097524	sperm plasma membrane
GO:0097526	spliceosomal tri-snRNP complex
GO:0017146	NMDA selective glutamate receptor complex
GO:0097057	TRAF2-GSTP1 complex
GO:0030139	endocytic vesicle
GO:0000347	THO complex
GO:0000346	transcription export complex
GO:0030131	clathrin adaptor complex
GO:0030130	clathrin coat of trans-Golgi network vesicle
GO:0030133	transport vesicle
GO:0030132	clathrin coat of coated pit
GO:0030135	coated vesicle
GO:0030134	COPII-coated ER to Golgi transport vesicle
GO:0030137	COPI-coated vesicle
GO:0030136	clathrin-coated vesicle
GO:0106333	subcortical maternal complex
GO:0030485	smooth muscle contractile fiber
GO:0020018	ciliary pocket membrane
GO:0097451	glial limiting end-foot
GO:0097450	astrocyte end-foot
GO:0097453	mesaxon
GO:0097452	GAIT complex
GO:0005694	chromosome
GO:0097454	Schwann cell microvillus
GO:1990780	cytoplasmic side of dendritic spine plasma membrane
GO:0005697	telomerase holoenzyme complex
GO:0036396	RNA N6-methyladenosine methyltransferase complex
GO:0036027	protein C inhibitor-PLAU complex
GO:0036398	TCR signalosome
GO:0043292	contractile fiber
GO:0043291	RAVE complex
GO:0098547	lumenal side of Golgi membrane
GO:0046691	intracellular canaliculus
GO:0098871	postsynaptic actin cytoskeleton
GO:0098875	epididymosome
GO:0044284	mitochondrial crista junction
GO:0048269	methionine adenosyltransferase complex
GO:0008180	COP9 signalosome
GO:0031519	PcG protein complex
GO:0031514	motile cilium
GO:0031515	tRNA (m1A) methyltransferase complex
GO:0031510	SUMO activating enzyme complex
GO:0000164	protein phosphatase type 1 complex
GO:0099053	activating signal cointegrator 1 complex
GO:0099056	integral component of presynaptic membrane
GO:0099055	integral component of postsynaptic membrane
GO:0099059	integral component of presynaptic active zone membrane
GO:0001750	photoreceptor outer segment
GO:0036026	protein C inhibitor-PLAT complex
GO:1905286	serine-type peptidase complex
GO:0045254	pyruvate dehydrogenase complex
GO:0045252	oxoglutarate dehydrogenase complex
GO:0045259	proton-transporting ATP synthase complex
GO:0044354	macropinosome
GO:0033018	sarcoplasmic reticulum lumen
GO:0030897	HOPS complex
GO:0032419	extrinsic component of lysosome membrane
GO:0098984	neuron to neuron synapse
GO:0042382	paraspeckles
GO:0016607	nuclear speck
GO:0016605	PML body
GO:0016604	nuclear body
GO:0016602	CCAAT-binding factor complex
GO:0070187	shelterin complex
GO:0030056	hemidesmosome
GO:0030057	desmosome
GO:0070743	interleukin-23 complex
GO:0042827	platelet dense granule
GO:0042824	MHC class I peptide loading complex
GO:0042825	TAP complex
GO:0070160	tight junction
GO:0035868	alphav-beta3 integrin-HMGB1 complex
GO:0035869	ciliary transition zone
GO:0000407	phagophore assembly site
GO:0035861	site of double-strand break
GO:0000408	EKC/KEOPS complex
GO:0035866	alphav-beta3 integrin-PKCalpha complex
GO:0035867	alphav-beta3 integrin-IGF-1-IGF1R complex
GO:0000974	Prp19 complex
GO:0071162	CMG complex
GO:0097730	non-motile cilium
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network
GO:0097733	photoreceptor cell cilium
GO:0005871	kinesin complex
GO:0005873	plus-end kinesin complex
GO:0005874	microtubule
GO:0005875	microtubule associated complex
GO:0005876	spindle microtubule
GO:0043564	Ku70
GO:0044615	nuclear pore nuclear basket
GO:0044614	nuclear pore cytoplasmic filaments
GO:0044613	nuclear pore central transport channel
GO:0044611	nuclear pore inner ring
GO:0033276	transcription factor TFTC complex
GO:0005671	Ada2/Gcn5/Ada3 transcription activator complex
GO:0033270	paranode region of axon
GO:0005844	polysome
GO:0071011	precatalytic spliceosome
GO:0071013	catalytic step 2 spliceosome
GO:0071014	post-mRNA release spliceosomal complex
GO:0033106	cis-Golgi network membrane
GO:0014731	spectrin-associated cytoskeleton
GO:0005916	fascia adherens
GO:0005915	zonula adherens
GO:0005846	nuclear cap binding complex
GO:0005912	adherens junction
GO:0005911	cell-cell junction
GO:0033291	eukaryotic 80S initiation complex
GO:0033290	eukaryotic 48S preinitiation complex
GO:0120212	sperm head-tail coupling apparatus
GO:0031260	pseudopodium membrane
GO:0019866	organelle inner membrane
GO:0019867	outer membrane
GO:0016938	kinesin I complex
GO:0061689	tricellular tight junction
GO:0030867	rough endoplasmic reticulum membrane
GO:0097196	Shu complex
GO:0097197	tetraspanin-enriched microdomain
GO:0035517	PR-DUB complex
GO:1904974	heparanase complex
GO:0042599	lamellar body
GO:0098888	extrinsic component of presynaptic membrane
GO:0097519	DNA recombinase complex
GO:0043186	P granule
GO:0097512	cardiac myofibril
GO:0097513	myosin II filament
GO:1990468	NuA3b histone acetyltransferase complex
GO:1990462	omegasome
GO:0099065	integral component of spine apparatus membrane
GO:1990467	NuA3a histone acetyltransferase complex
GO:1990316	Atg1/ULK1 kinase complex
GO:0055087	Ski complex
GO:0005689	U12-type spliceosomal complex
GO:0005688	U6 snRNP
GO:0005687	U4 snRNP
GO:0005686	U2 snRNP
GO:0005685	U1 snRNP
GO:0005684	U2-type spliceosomal complex
GO:0005683	U7 snRNP
GO:0005682	U5 snRNP
GO:0005681	spliceosomal complex
GO:0005680	anaphase-promoting complex
GO:0036025	protein C inhibitor-TMPRSS11E complex
GO:0035145	exon-exon junction complex
GO:0036024	protein C inhibitor-TMPRSS7 complex
GO:0009353	mitochondrial oxoglutarate dehydrogenase complex
GO:0070069	cytochrome complex
GO:0042765	GPI-anchor transamidase complex
GO:0031616	spindle pole centrosome
GO:0070701	mucus layer
GO:0031298	replication fork protection complex
GO:0120199	cone photoreceptor outer segment
GO:0044298	cell body membrane
GO:1902495	transmembrane transporter complex
GO:1902494	catalytic complex
GO:0099115	chromosome, subtelomeric region
GO:0044292	dendrite terminus
GO:0044291	cell-cell contact zone
GO:0044297	cell body
GO:0044295	axonal growth cone
GO:0044294	dendritic growth cone
GO:0000792	heterochromatin
GO:0000793	condensed chromosome
GO:0000791	euchromatin
GO:0000796	condensin complex
GO:0000794	condensed nuclear chromosome
GO:0000795	synaptonemal complex
GO:0042613	MHC class II protein complex
GO:0042612	MHC class I protein complex
GO:0061850	growth cone leading edge
GO:0000159	protein phosphatase type 2A complex
GO:0000151	ubiquitin ligase complex
GO:0000152	nuclear ubiquitin ligase complex
GO:0000153	cytoplasmic ubiquitin ligase complex
GO:0048188	Set1C/COMPASS complex
GO:0140007	KICSTOR complex
GO:0099026	anchored component of presynaptic membrane
GO:0099025	anchored component of postsynaptic membrane
GO:0036186	early phagosome membrane
GO:0099023	vesicle tethering complex
GO:0099020	perinuclear endoplasmic reticulum lumen
GO:0045244	succinate-CoA ligase complex (GDP-forming)
GO:0098674	extrinsic component of neuronal dense core vesicle membrane
GO:0110070	cellularization cleavage furrow
GO:0097632	extrinsic component of phagophore assembly site membrane
GO:0051233	spindle midzone
GO:0035985	senescence-associated heterochromatin focus
GO:0070195	growth hormone receptor complex
GO:0097141	BIM-BCL-2 complex
GO:0016942	insulin-like growth factor binding protein complex
GO:0065010	extracellular membrane-bounded organelle
GO:0097229	sperm end piece
GO:0019897	extrinsic component of plasma membrane
GO:0033597	mitotic checkpoint complex
GO:0072669	tRNA-splicing ligase complex
GO:0033593	BRCA2-MAGE-D1 complex
GO:0019898	extrinsic component of membrane
GO:0002947	tumor necrosis factor receptor superfamily complex
GO:0044754	autolysosome
GO:0044753	amphisome
GO:0000417	HIR complex
GO:0001940	male pronucleus
GO:0044194	cytolytic granule
GO:0071575	integral component of external side of plasma membrane
GO:0070578	RISC-loading complex
GO:0070032	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex
GO:0005869	dynactin complex
GO:0005868	cytoplasmic dynein complex
GO:0005865	striated muscle thin filament
GO:0005863	striated muscle myosin thick filament
GO:0005862	muscle thin filament tropomyosin
GO:0005861	troponin complex
GO:0097728	9+0 motile cilium
GO:0016012	sarcoglycan complex
GO:0016013	syntrophin complex
GO:0016010	dystrophin-associated glycoprotein complex
GO:0016011	dystroglycan complex
GO:0031021	interphase microtubule organizing center
GO:0071547	piP-body
GO:0071020	post-spliceosomal complex
GO:0071021	U2-type post-spliceosomal complex
GO:0016234	inclusion body
GO:0016235	aggresome
GO:0014704	intercalated disc
GO:0014705	C zone
GO:0014701	junctional sarcoplasmic reticulum membrane
GO:0120206	photoreceptor distal connecting cilium
GO:0120200	rod photoreceptor outer segment
GO:0120202	rod photoreceptor disc membrane
GO:0071159	NF-kappaB complex
GO:0061845	neuron projection branch point
GO:0097183	protein C inhibitor-coagulation factor XI complex
GO:0017054	negative cofactor 2 complex
GO:0097181	protein C inhibitor-coagulation factor V complex
GO:0097180	serine protease inhibitor complex
GO:0017053	transcription repressor complex
GO:0030027	lamellipodium
GO:1990529	glycosylphosphatidylinositol-mannosyltransferase I complex
GO:0017059	serine C-palmitoyltransferase complex
GO:0042581	specific granule
GO:0042583	chromaffin granule
GO:0042582	azurophil granule
GO:0042585	germinal vesicle
GO:0042584	chromaffin granule membrane
GO:0042587	glycogen granule
GO:0042589	zymogen granule membrane
GO:0042588	zymogen granule
GO:0043190	ATP-binding cassette (ABC) transporter complex
GO:0043195	terminal bouton
GO:0000145	exocyst
GO:0043197	dendritic spine
GO:0043196	varicosity
GO:0043198	dendritic shaft
GO:0097505	Rad6-Rad18 complex
GO:0097504	Gemini of coiled bodies
GO:0005786	signal recognition particle, endoplasmic reticulum targeting
GO:0005787	signal peptidase complex
GO:0005784	Sec61 translocon complex
GO:0005785	signal recognition particle receptor complex
GO:0005782	peroxisomal matrix
GO:0005783	endoplasmic reticulum
GO:0005788	endoplasmic reticulum lumen
GO:0005789	endoplasmic reticulum membrane
GO:1990635	proximal dendrite
GO:0030117	membrane coat
GO:1990630	IRE1-RACK1-PP2A complex
GO:0030119	AP-type membrane coat adaptor complex
GO:0030118	clathrin coat
GO:0098982	GABA-ergic synapse
GO:0098983	symmetric, GABA-ergic, inhibitory synapse
GO:0098981	cholinergic synapse
GO:0035189	Rb-E2F complex
GO:0005672	transcription factor TFIIA complex
GO:0005673	transcription factor TFIIE complex
GO:0097470	ribbon synapse
GO:0005677	chromatin silencing complex
GO:0005674	transcription factor TFIIF complex
GO:0005675	transcription factor TFIIH holo complex
GO:0097058	CRLF-CLCF1 complex
GO:1902710	GABA receptor complex
GO:1902711	GABA-A receptor complex
GO:0009360	DNA polymerase III complex
GO:0009361	succinate-CoA ligase complex (ADP-forming)
GO:1990742	microvesicle
GO:0045025	mitochondrial degradosome
GO:0009368	endopeptidase Clp complex
GO:0031371	ubiquitin conjugating enzyme complex
GO:0031372	UBC13-MMS2 complex
GO:1990745	EARP complex
GO:0106003	amyloid-beta complex
GO:0098858	actin-based cell projection
GO:0098675	intrinsic component of neuronal dense core vesicle membrane
GO:0098855	HCN channel complex
GO:0098857	membrane microdomain
GO:0098850	extrinsic component of synaptic vesicle membrane
GO:0000781	chromosome, telomeric region
GO:0000783	nuclear telomere cap complex
GO:0000785	chromatin
GO:0000786	nucleosome
GO:0098690	glycinergic synapse
GO:0098691	dopaminergic synapse
GO:0061846	dendritic spine cytoplasm
GO:0090661	box H/ACA telomerase RNP complex
GO:0045111	intermediate filament cytoskeleton
GO:0042627	chylomicron
GO:0042622	photoreceptor outer segment membrane
GO:0042629	mast cell granule
GO:0099617	matrix side of mitochondrial inner membrane
GO:0008305	integrin complex
GO:0036195	muscle cell projection membrane
GO:0001772	immunological synapse
GO:0099033	anchored component of postsynaptic recycling endosome membrane
GO:0045239	tricarboxylic acid cycle enzyme complex
GO:0008091	spectrin
GO:0070618	Grb2-Sos complex
GO:0099031	anchored component of postsynaptic density membrane
GO:1904115	axon cytoplasm
GO:0008541	proteasome regulatory particle, lid subcomplex
GO:0008540	proteasome regulatory particle, base subcomplex
GO:0045098	type III intermediate filament
GO:0070765	gamma-secretase complex
GO:0070761	pre-snoRNP complex
GO:0070762	nuclear pore transmembrane ring
GO:0032279	asymmetric synapse
GO:0032059	bleb
GO:0038037	G protein-coupled receptor dimeric complex
GO:0038038	G protein-coupled receptor homodimeric complex
GO:0038039	G protein-coupled receptor heterodimeric complex
GO:0033588	elongator holoenzyme complex
GO:0000421	autophagosome membrane
GO:0071817	MMXD complex
GO:0071819	DUBm complex
GO:0071818	BAT3 complex
GO:0070545	PeBoW complex
GO:0071561	nucleus-vacuole junction
GO:0035355	Toll-like receptor 2-Toll-like receptor 6 protein complex
GO:0071565	nBAF complex
GO:0071564	npBAF complex
GO:0032473	cytoplasmic side of mitochondrial outer membrane
GO:0061700	GATOR2 complex
GO:0015629	actin cytoskeleton
GO:0061702	inflammasome complex
GO:0005892	acetylcholine-gated channel complex
GO:0005893	interleukin-2 receptor complex
GO:0005890	sodium
GO:0005891	voltage-gated calcium channel complex
GO:0005896	interleukin-6 receptor complex
GO:0005895	interleukin-5 receptor complex
GO:0005898	interleukin-13 receptor complex
GO:0005899	insulin receptor complex
