C0220597	Adult Hodgkin Lymphoma
C0854078	Diabetic end stage renal disease
C0751350	Myoclonus, Lower Extremity
C0751351	Myoclonus, Segmental
C0854077	Diabetic retinal oedema
C0854076	Distal ileal obstruction syndrome
C0751358	Myotonic Phenomenon
C0751359	Percussion Myotonia
C1402315	Vascular lesions
C4707897	Severe early-onset axonal neuropathy due to mitofusin 2 deficiency
C1851828	Cigarette-paper scars
C0020175	Hunger
C0020179	Huntington Disease
C3552526	Metaphyseal sclerosis
C4509023	Light chain (AL) amyloidosis
C0406208	Suntan
C4509020	Isolated bone marrow mastocytosis
C3552528	Generalized ichthyosis
C4509024	Senile systemic amyloidosis (SSA)
C1868071	Adenomatous colonic polyposis
C1535964	Cholestatic pruritus
C0233826	Akatamathesia
C1844906	Broad finger
C1844909	Recurrent infections in infancy and early childhood
C1319183	Corticosteroid induced cataract
C0853892	Catabolic state
C0853897	Diabetic Cardiomyopathies
C3496493	Galectin-3 measurement
C1969562	Mental Retardation, Autosomal Dominant 1
C2613439	Extramedullary Hematopoiesis (disorder)
C1866094	DEAFNESS, AUTOSOMAL RECESSIVE 15
C1956089	Osteophyte
C0278622	Adult Malignant Peripheral Nerve Sheath Tumor
C0392163	Corneal erosion
C0392164	Pulmonary Cystic Fibrosis
C0234985	Mental deterioration
C4693964	NEURODEVELOPMENTAL DISORDER WITH HYPERKINETIC MOVEMENTS WITHOUT SEIZURES, AUTOSOMAL RECESSIVE
C1853249	SPINOCEREBELLAR ATAXIA 28
C1854990	Molybdenum Cofactor Deficiency, Complementation Group C
C0018614	Hashish Abuse
C0339534	Usher syndrome type 2
C0339535	Night blindness, congenital stationary
C0339537	Cone monochromatism
C0339530	Progressive cone-rod dystrophy
C0152268	Nodular Sclerosis Classical Hodgkin Lymphoma
C1387164	allergic rhinitis with asthma
C0152264	Familial erythrocytosis
C0152267	Hodgkin lymphoma, lymphocyte depletion
C0152266	Mixed Cellularity Hodgkin Lymphoma
C0339539	Familial Exudative Vitreoretinopathy
C0541798	Early Awakening
C4330531	Large Cell/Anaplastic Medulloblastoma
C0005741	Blepharitis
C0024121	Lung Neoplasms
C0005742	Blepharochalasis
C0005745	Blepharoptosis
C0541794	Skeletal muscle atrophy
C0005747	Blepharospasm
C2750850	GLIOMA SUSCEPTIBILITY 1
C0853277	Pseudo-Bartter syndrome
C4280806	Calcium oxalate kidney stones
C4280804	Percussion-induced rapid rolling muscle contractions
C4280803	Decreased CSF homovanillic acid
C4280802	Pulmonary venous occlusion
C0241876	Obstructive emphysema
C3553735	Microcephaly in adulthood
C0086457	Industrial Dermatosis
C2751105	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3B (disorder)
C0334664	Mast Cell Neoplasm
C0334663	Histiocytic sarcoma
C0334660	Angioendotheliomatosis
C0275778	Lyme carditis
C1533587	Hydroxymethylglutaric aciduria
C0008043	Chiari-Frommel Syndrome
C1260874	Infective dermatitis
C1849134	Impaired vibration sensation in the lower limbs
C1260873	Aortic valve disorder
C1835009	MESOMELIC DYSPLASIA, KANTAPUTRA TYPE
C0477633	Cervical disc disorder
C3839061	Phosphaturic mesenchymal tumor, malignant
C3839062	Perivascular epithelioid tumor, malignant
C0272278	Congenital thrombocytopenia
C0342765	D-Glyceric aciduria
C0272275	Heparin-induced thrombocytopenia with thrombosis
C0272274	Familial hemorrhagic diathesis
C1861714	Cerebral sarcoma
C1400201	Pituitary anomalies
C3179508	Aplasia/Hypoplasia of the thumb
C1865870	Deafness, Autosomal Recessive 18
C1865871	HEMANGIOMA, CAPILLARY INFANTILE
C3179502	Linear Verrucous Epidermal Nevus
C1865877	Renal cortical microcysts
C4015424	RETINAL DYSTROPHY AND OBESITY
C4015420	EPILEPSY, PROGRESSIVE MYOCLONIC 7
C1096168	Chromosome 17 trisomy
C0376545	Hematologic Neoplasms
C1862068	Fusion of middle ear ossicles
C1862066	Branchial anomaly
C1855119	Methylmalonic aciduria
C1855114	Methylmalonic Aciduria due to Methylmalonyl-CoA Mutase Deficiency
C1855115	Methylmalonic Aciduria, mut(0) Type
C1855116	Methylmalonic Aciduria, mut(-) Type
C0085437	Meningitis, Bacterial
C0085436	Meningitis, Cryptococcal
C0085435	Arthritis, Reactive
C0085434	Angiomatosis, Bacillary
C0085438	Meningitis, Fungal
C3839681	Seromucinous borderline tumor
C0268784	Myeloma kidney
C0079765	Lymphoma, Small Cleaved-Cell, Follicular
C4016730	ACQUIRED IMMUNODEFICIENCY SYNDROME, DELAYED PROGRESSION TO
C4016733	HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, RAPID PROGRESSION TO AIDS
C4016734	SPERMATOGENIC FAILURE, SUSCEPTIBILITY TO
C4016735	DIABETES MELLITUS, NONINSULIN-DEPENDENT, MODIFIER OF
C1536088	Positive myoclonus
C1536087	Negative myoclonus
C0236800	Panic disorder with agoraphobia
C1536085	Geographic Atrophy
C0236807	Amphetamine Abuse
C0236804	Amphetamine Addiction
C1851120	Hypertrichosis Terminalis, Generalized, with or without Gingival Hyperplasia
C4015283	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 46
C4015285	CARDIAC CONDUCTION DISEASE WITH OR WITHOUT DILATED CARDIOMYOPATHY
C1851124	Desmoid disease, hereditary
C4015286	MACULAR DEGENERATION, EARLY-ONSET
C1851129	Progressive cervical vertebral spine fusion
C2677770	ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 7
C2677774	Age-Related Macular Degeneration type 11
C0235575	Hemolytic reaction
C0235574	Intravascular hemolysis
C2024891	Reduced exercise tolerance
C4049381	Cancer-associated thrombosis
C4479660	APOE5 VARIANT
C1262117	Fungal keratitis
C4479664	ADRENAL INSUFFICIENCY, NR5A1-RELATED
C1262113	Lipohypertrophy
C0694457	Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)
C4531100	Negative affectivity
C0694453	Neurotic, stress-related and somatoform disorders
C1720861	Familial Partial Lipodystrophy, Type 3
C1720860	Familial Partial Lipodystrophy, Type 2
C1720863	Congenital Generalized Lipodystrophy Type 2
C1720862	Congenital Generalized Lipodystrophy Type 1
C1720864	Sulfatidosis, Juvenile, Austin Type
C4084840	FANCONI ANEMIA, COMPLEMENTATION GROUP T
C4016882	SPASTIC PARAPLEGIA 4, MODIFIER OF
C4016880	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 3
C4016881	ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SOMATIC
C0477611	[X]Spinal osteochondrosis, unspecified
C4084842	JOUBERT SYNDROME 25
C3645711	Congenital Osteopetrosis
C0795932	fontaine syndrome
C3840085	Disorder of Achilles tendon
C3840083	Late closure of anterior fontanel
C0795934	Digitorenocerebral Syndrome
C1740801	Exaggerated startle response
C0795939	AMINOPTERIN SYNDROME SINE AMINOPTERIN
C0332962	Anomalous vascular distribution
C4540474	MENTAL RETARDATION, AUTOSOMAL DOMINANT 51
C4014488	PONTOCEREBELLAR HYPOPLASIA, TYPE 2E
C4704742	Craniofacial Fibrous Dysplasia
C4479599	STANKIEWICZ-ISIDOR SYNDROME
C4540470	MENTAL RETARDATION, AUTOSOMAL DOMINANT 50
C4540478	MENTAL RETARDATION, AUTOSOMAL DOMINANT 52
C0423791	Maculopapular Lesion
C0423798	Increased tendency to bruise
C1855801	Calcium nephrolithiasis
C0007659	Cementoma
C0751832	Gait, Widebased
C0751831	Gait, Frontal
C0751830	Gait Disorders, Neurologic
C0751837	Gait Ataxia
C0751836	Gait Ataxia, Sensory
C1859317	Cataract and cardiomyopathy
C1859312	CAMFAK syndrome
C0023364	Leptospirosis
C0036439	Scoliosis, unspecified
C2960634	Reactivation of hepatitis B viral hepatitis
C0333027	Microlithiasis
C1832885	MIGRAINE, SPORADIC HEMIPLEGIC, WITH PROGRESSIVE CEREBELLAR ATAXIA
C1832884	Hemiplegic migraine, familial type 1
C0523744	Lipids measurement
C1691228	Cystic Kidney Diseases
C1834737	Cutaneous syndactyly of toes
C0267437	Allergic diarrhea
C3809420	CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 4
C3809427	SPERMATOGENIC FAILURE 12
C0267430	Noninfectious colitis
C1304224	Pemphigoid nodularis
C4013429	Underdeveloped tragus
C1300256	Thanatophoric dysplasia, type 1
C0038002	Splenomegaly
C1832776	Hypertrophic nerve changes
C4024743	Aplasia/Hypoplasia of the optic nerve
C0424304	Inappropriate laughter
C1279386	Postoperative pneumonia
C3553870	SECKEL SYNDROME 7
C2748440	Sensorineural Deafness With Mild Renal Dysfunction
C2987120	Intramucosal Adenocarcinoma
C2987128	Digestive System Neuroendocrine Carcinoma
C2987129	Gastrointestinal Mixed Adenoneuroendocrine Carcinoma
C0276161	Subacute adenoviral encephalitis
C2986656	Non-Functioning Endocrine Neoplasm
C4693522	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 19
C4693523	AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 24
C0276168	Egg drop syndrome
C2986658	Diffuse Intrinsic Pontine Glioma
C4229649	Heart defect (in some patients)
C3272265	Three Vessel Coronary Disease
C0347071	Malignant neoplasm of other and unspecified sites
C0347073	Carcinoma in situ of mouth
C1970386	Cataract, Posterior Polar, 4, With Microphthalmia And Neurodevelopmental Abnormalities
C3150941	RUBINSTEIN-TAYBI SYNDROME 2
C3150943	Long Qt Syndrome 2
C3150942	SPONDYLOCOSTAL DYSOSTOSIS 4, AUTOSOMAL RECESSIVE
C0262659	Vagina Carcinoma
C1864623	DIABETES MELLITUS, TRANSIENT NEONATAL, 3 (disorder)
C1864621	RETINITIS PIGMENTOSA 36
C1857280	Infra-orbital crease
C3806467	Respiratory insufficiency due to muscle weakness
C3806462	Apneic episodes precipitated by illness, fatigue, stress
C1260405	frontal dementia
C1836255	Preeclampsia Eclampsia 4
C1260402	Splenic sequestration
C1260403	prothrombin gene mutation
C2675383	POLYOSTOTIC FIBROUS DYSPLASIA, SOMATIC, MOSAIC
C2873786	Deficiency of factor VII [stable]
C2873787	Deficiency of factor X [Stuart-Prower]
C4552019	Stage IS Testicular Cancer AJCC v6 and v7
C2873788	Deficiency of factor XII [Hageman]
C1281998	Refractory heart failure
C4552011	Gonadotropin deficiency
C2937358	Cerebral Hemorrhage
C2937359	Old thrombus
C4543811	Adult-onset immunodeficiency
C0042769	Virus Diseases
C1708751	Low grade myofibroblastic sarcoma
C0232865	Functional proteinuria
C1837615	Ciliary Dyskinesia, Primary, 5
C1837610	ICHTHYOSIS PREMATURITY SYNDROME
C1837618	CILIARY DYSKINESIA, PRIMARY, 3
C1258104	Diffuse Scleroderma
C4022593	Tremor by anatomical site
C4022592	Oral motor hypotonia
C0494165	Secondary malignant neoplasm of liver
C0494164	Secondary malignant neoplasm of small intestine
C0334348	Hidradenoma Papilliferum
C0035317	Retinal Hemorrhage
C1847879	X-linked dominant inheritance
C0035313	Retinal Dysplasia
C0035312	Retinal Drusen
C1847874	PHACE association
C0334342	Skin appendage adenoma
C0035319	Retinal Necrosis Syndrome, Acute
C0334345	Apocrine adenoma
C0334346	Apocrine adenocarcinoma
C0334347	Eccrine spiradenoma
C0740345	Germ Cell Cancer
C0740340	Amyloidosis, Familial
C1335996	Gastrointestinal stromal tumor of small intestine
C0679362	Tuberculosis, extrapulmonary
C0679360	Foodborne Disease
C0730275	Macular pseudohole
C0009090	Cluttering
C2931218	Tetraamelia multiple malformations
C2931216	Tetra-amelia autosomal recessive
C2931210	Usher syndrome, type 1F
C2931213	Usher syndrome, type 2C
C0431448	Absent eyebrow
C0431447	Synophrys
C0878681	Dent's disease
C0878682	Ceruloplasmin deficiency
C0878683	Pituitary Dwarfism Type 3
C0878684	SHORT syndrome
C4727077	locally advanced squamous cell carcinoma of the skin
C3826289	Gastrointestinal system--Diseases
C4727078	Advanced Synovial Sarcoma
C4727079	Advanced Sarcoma
C0860472	Adolescent antisocial behaviour
C0522624	Subcutaneous panniculitis-like T-cell lymphoma
C0860471	Dairy intolerance
C4287832	Metastatic Malignant Solid Neoplasm
C0265191	Chronic acquired lymphedema
C0522628	Acute lymphoblastic leukemia, L1 type
C0271240	Blindness of one eye (disorder)
C0796418	Visual Pathway Glioma
C0086367	Gonadotropin-Resistant Ovary Syndrome
C2316786	Chronic kidney disease stage 2
C4022417	Degeneration of the striatum
C4022414	Elevated urinary 3-hydroxybutyric acid
C1969288	Expanded metacarpals with widened medullary cavities
C0031762	Photosensitivity Disorders
C1334647	Maxillary Sinus Squamous Cell Carcinoma
C3854329	Primary mucoepidermoid carcinoma of lung
C0035869	Rotavirus Infections
C3810359	RENAL HYPODYSPLASIA/APLASIA 2
C0034194	Pyloric Stenosis
C0578736	Inguinal lymphadenopathy
C3810354	HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 4
C3810350	Bone marrow failure syndrome 2
C0086181	Intravenous Drug Abuse
C4722419	Extrapulmonary Small Cell Carcinoma
C0265736	Congenital anomaly of nose
C1333032	Chronic Adult T-Cell Leukemia/Lymphoma
C1333034	Chronic Cancer Pain
C0266094	Congenital macrocheilia
C0266429	Monorchism
C0266427	Testicular regression syndrome
C1839071	Spermatogenic Failure, Nonobstructive, Y-Linked
C0424071	Hallucinations, Visual, Unformed
C0267778	Adhesion of intestine
C0158962	Hemolytic disease of fetus OR newborn due to RhD isoimmunization
C0267770	Retractile Mesenteritis
C0267771	Retroperitoneal mass
C4024153	Asymmetry of the mouth
C4024154	Sunken cheeks
C4024159	Aplasia/Hypoplasia involving the nose
C4024158	Abnormality of the columella
C0428321	Measurement of liver enzyme
C0427515	Neutrophil abnormality
C4324298	Tumour inflammation
C0340235	Bronchobiliary fistula
C0152069	Echinococcus multilocularis infection
C0152068	Echinococcus granulosus infection
C0152066	Lobomycosis
C0034734	Raynaud Disease
C0034735	Raynaud Phenomenon
C3665858	Parenteral nutrition associated liver disease
C4025826	Abnormality of the urethra
C4025827	IgA deposition in the glomerulus
C4025825	Abnormal external genitalia
C4025822	Abnormality of the parathyroid gland
C4025823	Abnormality of the endocrine system
C4025821	Anterior hypopituitarism
C4025828	Abnormality of the scapula
C4025829	Abnormality of the breast
C0853070	Uterine ischaemia
C3274709	Contralateral Breast Carcinoma
C0948120	Hepatic siderosis
C1845181	MENTAL RETARDATION, X-LINKED 78
C3805838	VON HIPPEL-LINDAU SYNDROME, MODIFIER OF
C3805839	Central hypoventilation
C0340007	Catamenial pneumothorax
C1332347	Atypical Ductal Breast Hyperplasia
C1332345	Atypical Adenomatous Lung Hyperplasia
C0687150	Parathyroid Gland Adenocarcinoma
C0025500	Mesothelioma
C0687154	Acrocephalopolysyndactyly
C0858572	Rigidity of limbs
C1335693	Recurrent Anaplastic Large Cell Lymphoma
C1333964	Liver Dysplastic Nodule
C4021254	Cutaneous finger syndactyly
C0748903	spinal cord involvement
C1333967	Inflammatory pseudotumor of liver
C4021251	Dysplasia of the femoral head
C4021250	Intracranial cystic lesion
C1333962	Hepatic Angiomyolipoma
C1333963	Carcinoid tumour of the liver
C1532710	Isoniazid resistant tuberculosis
C4021259	Limitation of knee mobility
C1333969	Liver Leiomyosarcoma
C1838854	DEAFNESS, AMINOGLYCOSIDE-INDUCED
C2751479	Hypoplastic sacral vertebrae
C2751478	Bifid thoracic vertebrae
C4727892	Gatad2b associated neurodevelopmental disorder
C4525220	Feline Fibrosarcoma
C4525225	Hamster Cholangiocarcinoma
C1313885	Hereditary edema of legs
C2699063	Resistin Measurement
C0152936	Plague, Septicemic
C4281993	Neonatal respiratory distress
C0235410	Potassium retention
C4020703	Cystic lung lesion
C4020704	Sertoli cell neoplasm
C4020705	Glomerulocystic kidney disease
C0432152	Thoracic hemivertebra
C4054695	Familial glucocorticoid deficiency
C1328380	Acute right ventricular failure
C0852036	Pregnancy associated hypertension
C0027613	Neonatal hepatitis
C0027612	Congenital, Hereditary, and Neonatal Diseases and Abnormalities
C4477077	Abnormal cardiac exercise stress test
C4477072	Iris flocculi
C4477070	Unilateral alveolar cleft of maxilla
C1850451	CEROID LIPOFUSCINOSIS, NEURONAL, 1
C1850456	Progressive microcephaly
C0338831	Manic
C1856115	Happy demeanor
C1856117	Uplifted earlobe
C1856113	Mowat-Wilson syndrome
C0280301	Hard Palate Squamous Cell Carcinoma
C0035457	Rhinitis, Allergic, Perennial
C0035455	Rhinitis
C1856119	Low hanging columella
C1856118	Prominent nasal tip
C0948750	Salivary gland carcinoma
C3149841	POLYCYSTIC KIDNEY DISEASE 1
C0151620	Hypertensive Encephalopathy
C2242796	Sickle cell-thalassemia disease
C0151626	Necrolysis epidermal
C1321587	Breathing abnormally deep
C0017547	Gigantism
C3279614	BLEEDING DISORDER, PLATELET-TYPE, 13, SUSCEPTIBILITY TO
C0034089	Pulmonary Valve Stenosis
C0154051	Hemangioma of retina
C0154059	Carcinoma in situ of esophagus
C3494162	Ovarian Hyperstimulation Syndrome, Familial Gestational Spontaneous
C3697880	Intractable nausea and vomiting
C1963905	Infantile free sialic acid storage disease
C0854795	Resectable Malignant Liver Neoplasm
C0854796	Hepatoblastoma non-resectable
C0854792	Bile duct cancer resectable
C1863599	Hereditary Myopathy with Early Respiratory Failure
C1857242	Rhizomelic chondrodysplasia punctata, type 2
C0751585	West Nile Fever Meningoencephalitis
C1845977	X- linked recessive
C3810018	Bilateral coxa valga
C3553084	Bilateral cleft palate
C1852148	Reticulate pigmentation of oral mucosa
C3810012	RIENHOFF SYNDROME
C1852146	DERMODISTORTIVE URTICARIA
C1852145	Familial dermographism
C0233221	Fetal descent
C0854135	Pseudomonas aeruginosa infection
C0279706	Lymphoepithelial malignant thymoma
C4024950	Nonprogressive encephalopathy
C4021893	Nonprogressive visual loss
C4073149	Simultanapraxia
C4011726	MYOPATHY, TUBULAR AGGREGATE, 1
C1334464	Lymphohistiocytoid Mesothelioma
C0235974	Pancreatic carcinoma
C0235971	Elevated alpha-fetoprotein
C3825235	Visceral reflex
C1956125	Alagille Syndrome 1
C0338586	Vertebral Artery Dissection
C0338585	Dissection of carotid artery
C0338582	Sporadic Cerebral Amyloid Angiopathy
C0155017	Color Blindness, Blue
C0155016	Color Blindness, Red-Green
C1867030	Enlarged lacrimal glands
C4021899	Premature chromatid separation
C0279743	high-grade salivary gland carcinoma
C4024836	Generalized reticulate brown pigmentation
C4024837	Congenital palmoplantar keratodermia
C4021898	Upper limb hypertonia
C0279748	Undifferentiated carcinoma of nasopharynx
C4024831	Blotching pigmentation of the skin
C1866340	Peroxisome Biogenesis Disorder, Complementation Group 3
C0001363	Acute vascular insufficiency of intestine (disorder)
C0001361	Acute tonsillitis
C1853238	Conotruncal defect
C0751679	Ganglioglioma, Intracranial
C1302746	Melanocytic neoplasm
C3696376	3-Methylglutaconic Aciduria
C0751675	Cerebral Primitive Neuroectodermal Tumor
C0751674	Lymphangioleiomyomatosis
C1853230	Aphakia, congenital primary
C1399128	Growth arrest lines
C0751670	Machado-Joseph Disease Type III
C1853235	Sclerocornea
C1853234	Anterior segment of eye aplasia
C0162853	Pityriasis Lichenoides
C0004623	Bacterial Infections
C0004626	Pneumonia, Bacterial
C0238358	Hypokalemic periodic paralysis
C3839280	High grade serous carcinoma
C0238357	Hyperkalemic periodic paralysis
C1849478	Increased red cell osmotic fragility
C0752098	Autosomal Dominant Parkinsonism
C2750467	Cardiomyopathy, Familial Hypertrophic, 14
C2750466	Cardiomyopathy, Dilated, 1EE
C2750460	Tsc2 Angiomyolipomas, Renal, Modifier Of
C0752097	Autosomal Dominant Juvenile Parkinson Disease
C0018794	Heart Block
C4704885	Fibrocartilaginous Dysplasia of Bone
C0018790	Cardiac Arrest
C0014236	Endophthalmitis
C0018798	Congenital Heart Defects
C0018799	Heart Diseases
C0272339	Prekallikrein deficiency
C0005283	beta Thalassemia
