bioplanet_25	BAD phosphorylation regulation
bioplanet_669	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)
bioplanet_118	Ceramide signaling pathway
bioplanet_119	Signaling pathway from G-protein families
bioplanet_116	Presenilin action in Notch and Wnt signaling
bioplanet_117	mTOR signaling pathway
bioplanet_114	EGF receptor transactivation by GPCRs in cardiac hypertrophy
bioplanet_115	Bioactive peptide-induced signaling pathway
bioplanet_112	Phospholipids as signaling intermediaries
bioplanet_113	Ck1/Cdk5 regulation by type 1 glutamate receptors
bioplanet_110	PKC-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase
bioplanet_111	Calcium signaling by HBx of hepatitis B virus
bioplanet_50	Lck and Fyn tyrosine kinases in initiation of T cell receptor activation
bioplanet_51	T cell activation co-stimulatory signal
bioplanet_52	Chromatin remodeling by hSWI/SNF ATP-dependent complexes
bioplanet_53	FOSB gene expression and drug abuse
bioplanet_54	TACI and BCMA stimulation of B cell immune responses
bioplanet_55	Th1/Th2 differentiation pathway
bioplanet_56	Tob role in T-cell activation
bioplanet_57	ADP-ribosylation factor
bioplanet_58	Protein kinase A (PKA) at the centrosome
bioplanet_59	BTG family proteins and cell cycle regulation
bioplanet_1648	Insulin secretion regulation by glucagon-like peptide-1
bioplanet_1649	Insulin-like growth factor (IGF) activity regulation by insulin-like growth factor binding proteins (IGFBPs)
bioplanet_1644	Complement cascade regulation
bioplanet_1645	Gene expression regulation by hypoxia-inducible factor
bioplanet_1646	Insulin secretion regulation by acetylcholine
bioplanet_1647	Insulin secretion regulation by fatty acids bound to GPR40 (FFAR1)
bioplanet_1640	Recruitment of NuMA to mitotic centrosomes
bioplanet_1641	Recycling of eIF2-GDP complex
bioplanet_1642	Recycling pathway of cell adhesion molecule L1
bioplanet_1643	Reduction of cytosolic calcium levels
bioplanet_1503	Clathrin derived vesicle budding
bioplanet_1502	Classical Kir channels
bioplanet_1501	Circadian rhythm
bioplanet_1500	Cellular response to hypoxia
bioplanet_1507	Coagulation common pathway
bioplanet_1506	Cleavage of a damaged pyrimidine
bioplanet_1505	Cleavage of a damaged purine
bioplanet_1504	Cleavage of growing transcript in the termination region
bioplanet_1509	Cooperation of prefoldin and TriC/CCT  in actin and tubulin folding
bioplanet_1508	Complement cascade
bioplanet_1479	YAP1- and WWTR1 (TAZ)-stimulated gene expression
bioplanet_1478	Cytochrome P450 metabolism of xenobiotics
bioplanet_1477	Voltage-gated potassium channels
bioplanet_1476	Cytochrome P450 metabolism of vitamins
bioplanet_1475	Asparagine N-linked glycosylation
bioplanet_1474	Vitamin A uptake in enterocytes
bioplanet_1473	Unfolded protein response
bioplanet_1472	Transmission across chemical synapses
bioplanet_1471	Translation
bioplanet_1470	Transcriptional regulation of white adipocyte differentiation
bioplanet_655	Netrin-mediated signaling events
bioplanet_306	Bacterial invasion of epithelial cells
bioplanet_305	Primary immunodeficiency
bioplanet_304	Graft-versus-host disease
bioplanet_303	Allograft rejection
bioplanet_650	CXCR4 signaling pathway
bioplanet_653	IGF1 receptor signaling through beta-arrestin
bioplanet_300	Asthma
bioplanet_879	Proteasome degradation
bioplanet_878	Heparan sulfate/heparin glycosaminoglycan (HS-GAG) degradation
bioplanet_871	Fatty acid
bioplanet_870	Astrocytic glutamate-glutamine uptake and metabolism
bioplanet_873	Degradation of beta-catenin by the destruction complex
bioplanet_872	Alpha-linolenic (omega3) and linoleic (omega6) acid metabolism
bioplanet_875	Autodegradation of Cdh1 by Cdh1-APC/C
bioplanet_874	Degradation of cysteine and homocysteine
bioplanet_877	Chondroitin sulfate/dermatan sulfate degradation
bioplanet_876	Heme degradation
bioplanet_1095	Endosomal sorting complex required for transport (ESCRT) pathway
bioplanet_1094	Ammonium transport mediated by Rhesus glycoproteins
bioplanet_1097	Cytosolic sulfonation of small molecules
bioplanet_1096	COPII-mediated vesicle transport
bioplanet_1091	Lipid digestion
bioplanet_1090	Bile salt and organic anion SLC transporters
bioplanet_1093	Facilitative sodium-independent glucose transporters
bioplanet_1092	Sodium/chloride-dependent neurotransmitter transporters
bioplanet_1099	Class II glucose transporters
bioplanet_1098	Sodium-coupled sulphate
bioplanet_1257	Nucleotide-like (purinergic) G-protein coupled receptors
bioplanet_1256	Activation of TRKA receptors
bioplanet_1255	Activation of PKB
bioplanet_1254	MEK activation
bioplanet_1253	Lysosphingolipid and lysophosphatidic acid (LPA) G-protein coupled receptors
bioplanet_1252	Leukotriene receptors
bioplanet_1251	Klotho-mediated ligand binding
bioplanet_1250	Insulin receptor substrate (IRS) activation
bioplanet_1259	Binding of orexin and neuropeptides FF and QRFP to their receptors
bioplanet_1258	Opsins
bioplanet_581	TWEAK signaling pathway
bioplanet_580	SREBP signaling
bioplanet_583	Visual signal transduction: rods
bioplanet_582	Visual signal transduction: cones
bioplanet_584	p75 neurotrophin receptor signaling via NF-kB
bioplanet_587	T cell signal transduction
bioplanet_586	Opioid signaling
bioplanet_589	Nef-induced signal transduction
bioplanet_588	Leptin signaling pathway
bioplanet_277	Erythrocyte differentiation pathway
bioplanet_276	Alpha-hemoglobin stabilizing enzyme (AHSP) pathway
bioplanet_907	Activation of NF-kappaB in B cells
bioplanet_274	TGF-beta signaling pathway
bioplanet_273	Nuclear receptors in lipid metabolism and toxicity
bioplanet_272	Signaling of hepatocyte growth factor receptor
bioplanet_271	Integrin signaling pathway
bioplanet_270	RNA polymerase III transcription
bioplanet_909	EGFR interaction with phospholipase C-gamma
bioplanet_908	Activation of RAS in B cells
bioplanet_279	Pathways in cancer
bioplanet_278	Bone mineralization regulation
bioplanet_475	Long-term potentiation
bioplanet_474	Intestinal immune network for IgA production
bioplanet_477	Long-term depression
bioplanet_476	Neurotrophin signaling pathway
bioplanet_471	Fc epsilon receptor I signaling pathway
bioplanet_470	T cell receptor signaling pathway
bioplanet_473	Leukocyte transendothelial migration
bioplanet_472	Fc gamma receptor-mediated phagocytosis
bioplanet_479	Taste transduction
bioplanet_478	Olfactory transduction
bioplanet_299	Maturity onset diabetes of the young
bioplanet_298	Type 1 diabetes mellitus
bioplanet_295	Dilated cardiomyopathy
bioplanet_294	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
bioplanet_297	Type 2 diabetes mellitus
bioplanet_296	Viral myocarditis
bioplanet_291	Acute myeloid leukemia
bioplanet_290	Chronic myeloid leukemia
bioplanet_293	Non-small cell lung cancer
bioplanet_292	Small cell lung cancer
bioplanet_611	Interferon signaling
bioplanet_610	Downstream signaling events Of B cell receptor (BCR)
bioplanet_613	Osteoclast signaling
bioplanet_612	Adrenaline signaling through alpha-2 adrenergic receptor
bioplanet_615	Osteoblast signaling
bioplanet_614	RANKL signaling pathway
bioplanet_617	ERBB2/ERBB3 signaling events
bioplanet_616	FoxO family signaling
bioplanet_619	FasL/CD95L signaling
bioplanet_618	Thromboxane signaling through TP receptor
bioplanet_129	AHR signal transduction pathway
bioplanet_128	Interleukin-17 signaling pathway
bioplanet_123	TNFR2 signaling pathway
bioplanet_122	TNF/stress-related signaling
bioplanet_121	PDGFA signaling pathway
bioplanet_120	Cytokines and inflammatory response
bioplanet_125	CARM1 transcriptional regulation by protein methylation
bioplanet_124	TPO signaling pathway
bioplanet_729	TRAF6-mediated IRF7 activation in TLR7/8 or 9 signaling
bioplanet_728	Advanced glycosylation endproduct receptor signaling
bioplanet_725	Second messenger role in netrin-1 signaling
bioplanet_724	Angiopoietin receptor Tie2-mediated signaling
bioplanet_727	Neurotrophic factor-mediated Trk receptor signaling
bioplanet_726	Serotonin receptor 2 and ELK-SRF/GATA4 signaling
bioplanet_721	Serotonin receptor 4/6/7 and NR3C signaling
bioplanet_720	Negative regulators of RIG-I/MDA5 signaling
bioplanet_723	Nuclear beta-catenin signaling and target gene transcription regulation
bioplanet_722	Calcineurin-dependent NFAT signaling role in lymphocytes
bioplanet_43	Activation of Src by protein tyrosine phosphatase alpha
bioplanet_42	Actions of nitric oxide in the heart
bioplanet_41	Basic mechanisms of SUMOylation
bioplanet_40	Inhibition of platelet activation by aspirin
bioplanet_47	NO2-dependent IL-12 pathway in NK cells
bioplanet_46	Selective expression of chemokine receptors during T-cell polarization
bioplanet_45	Y branching of actin filaments
bioplanet_44	AKAP95 role in mitosis and chromosome dynamics
bioplanet_49	4-1BB-dependent immune response
bioplanet_48	Nerve growth factor (NGF) pathway
bioplanet_884	APC/C- and Cdc20-mediated degradation of Nek2A
bioplanet_885	Cell-cell communication
bioplanet_916	Negative regulation of the PI3K/Akt network
bioplanet_917	PI3K cascade
bioplanet_914	AKT phosphorylation of cytosolic targets
bioplanet_1659	Response of Mycobacterium tuberculosis to phagocytosis
bioplanet_1658	Resolution of abasic sites (AP sites)
bioplanet_1653	Gene expression regulation in endocrine-committed (NEUROG3+) progenitor cells
bioplanet_1652	Gene expression regulation in early pancreatic precursor cells
bioplanet_1651	Cytoskeletal remodeling regulation and cell spreading by IPP complex components
bioplanet_1650	Pancreatic beta-cell development regulation
bioplanet_1657	Resolution of AP sites via the single-nucleotide replacement pathway
bioplanet_1656	Fanconi anemia pathway regulation
bioplanet_1655	Alpha defensins
bioplanet_1654	Gene expression regulation in late stage pancreatic bud precursor cells
bioplanet_910	Phospholipase C-mediated cascade
bioplanet_911	EGFR transactivation by gastrin
bioplanet_1138	Messenger RNA processing
bioplanet_1139	MicroRNA regulation of DNA damage response
bioplanet_1408	Licensing factor removal from origins
bioplanet_1409	Mitotic prometaphase
bioplanet_882	Keratan sulfate degradation
bioplanet_1402	Beta-oxidation of lauroyl-CoA to decanoyl-CoA
bioplanet_1403	Mitotic metaphase/anaphase transition
bioplanet_1400	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters
bioplanet_1401	Glycoprotein hormones
bioplanet_1406	Tat-mediated elongation of the HIV-1 transcript
bioplanet_1407	Tat-mediated HIV-1 elongation arrest and recovery
bioplanet_1404	Cap-dependent translation initiation
bioplanet_1405	Notch-HLH transcription pathway
bioplanet_883	Ubiquitin-mediated degradation of phosphorylated Cdc25A
bioplanet_1130	Transfer RNA aminoacylation
bioplanet_1131	Messenger RNA decay by 3' to 5' exoribonuclease
bioplanet_1316	CDC42 activity regulation
bioplanet_1317	ATM pathway
bioplanet_1314	RhoA activity regulation
bioplanet_1315	p38-alpha and p38-beta regulation
bioplanet_1312	Myc active pathway
bioplanet_1313	Arf6 integrin-mediated signaling pathway
bioplanet_1310	S1P/S1P4 pathway
bioplanet_1311	FRA pathway
bioplanet_1318	S1P/S1P1 pathway
bioplanet_1319	Telomerase regulation
bioplanet_868	Glucocorticoid and mineralcorticoid metabolism
bioplanet_869	Chondroitin sulfate/dermatan sulfate metabolism
bioplanet_862	Vitamin B2 (riboflavin) metabolism
bioplanet_863	Bile acid and bile salt metabolism
bioplanet_860	Vitamin D (calciferol) metabolism
bioplanet_861	Abacavir transport and metabolism
bioplanet_866	Vitamin B5 (pantothenate) metabolism
bioplanet_867	Heparan sulfate/heparin glycosaminoglycan (HS-GAG) metabolism
bioplanet_864	Keratan sulfate/keratin metabolism
bioplanet_865	Vitamin A and carotenoid metabolism
bioplanet_1222	CREB phosphorylation
bioplanet_1223	Calcitonin-like ligand receptors
bioplanet_1220	Beta-klotho-mediated ligand binding
bioplanet_1221	Axonogenesis regulation by p75 neurotrophin receptor
bioplanet_1226	Class B GPCRs (secretin family receptors)
bioplanet_1224	Calmodulin activation of PDE 1
bioplanet_1225	Binding of chemokines to chemokine receptors
bioplanet_1228	Downregulation of SMAD2/3-SMAD4 transcriptional activity
bioplanet_1229	ERK activation
bioplanet_592	Aurora B signaling
bioplanet_593	PI3K/AKT signalling
bioplanet_590	Nuclear signaling by ErbB4
bioplanet_591	Wnt/LRP6 signaling
bioplanet_596	Immune system signaling by interferons
bioplanet_597	Glucagon signaling in metabolic regulation
bioplanet_594	Thrombin signaling through protease-activated receptors
bioplanet_888	Regulation of transcription by NOTCH1 intracellular domain
bioplanet_598	Netrin-1 signaling
bioplanet_599	TGF-beta signaling in gastrointestinal stem cells
bioplanet_260	Spliceosome
bioplanet_261	RNA degradation
bioplanet_262	Protein export
bioplanet_263	Ubiquitin-mediated proteolysis
bioplanet_264	SNARE interactions in vesicular transport
bioplanet_265	Protein processing in the endoplasmic reticulum
bioplanet_266	Base excision repair
bioplanet_267	Mismatch repair
bioplanet_268	Homologous recombination
bioplanet_269	Non-homologous end-joining (NHEJ) pathway
bioplanet_918	PI3K/AKT activation
bioplanet_919	Glycoprotein VI-mediated activation cascade
bioplanet_466	RIG-I-like receptor signaling pathway
bioplanet_467	Cytosolic DNA-sensing pathway
bioplanet_464	Antigen processing and presentation
bioplanet_465	NOD signaling pathway
bioplanet_462	Chemokine signaling pathway
bioplanet_463	Complement and coagulation cascades
bioplanet_460	Proximal tubule bicarbonate reclamation
bioplanet_461	Collecting duct acid secretion
bioplanet_1137	Messenger RNA splicing: major pathway
bioplanet_1134	Messenger RNA editing
bioplanet_1135	Messenger RNA splicing: minor pathway
bioplanet_1132	Messenger RNA decay by 5' to 3' exoribonuclease
bioplanet_1133	Messenger RNA capping
bioplanet_468	Hematopoietic cell lineage
bioplanet_469	Natural killer cell-mediated cytotoxicity
bioplanet_288	Melanoma
bioplanet_289	Bladder cancer
bioplanet_286	Thyroid cancer
bioplanet_287	Basal cell carcinoma
bioplanet_284	Glioma
bioplanet_285	Prostate cancer
bioplanet_282	Pancreatic cancer
bioplanet_283	Endometrial cancer
bioplanet_280	Colorectal cancer
bioplanet_281	Renal cell carcinoma
bioplanet_602	EGF/EGFR signaling pathway
bioplanet_603	Plexin D1 signaling
bioplanet_600	TGF-beta signaling in development
bioplanet_601	Epstein-Barr virus LMP1 signaling
bioplanet_606	CD40/CD40L signaling
bioplanet_607	E-cadherin signaling events
bioplanet_604	TNF-alpha signaling pathway
bioplanet_605	G-protein signaling pathways
bioplanet_608	PDGFB signaling pathway
bioplanet_609	N-cadherin signaling events
bioplanet_135	IGF1 signaling pathway
bioplanet_136	Interleukin-10 anti-inflammatory signaling pathway
bioplanet_130	Anthrax toxin mechanism of action
bioplanet_132	fMLP induced chemokine gene expression in HMC-1 cells
bioplanet_133	Interferon-alpha signaling pathway
bioplanet_138	Interleukin-18 signaling pathway
bioplanet_139	Interleukin-22 soluble receptor signaling pathway
bioplanet_738	Phosphatidylethanolamine biosynthesis
bioplanet_739	Phosphatidylglycerol biosynthesis
bioplanet_736	Phosphatidic acid biosynthesis
bioplanet_737	Phosphatidylcholine biosynthesis
bioplanet_734	Nucleotide di- and triphosphate biosynthesis and interconversion
bioplanet_735	GDP-mannose biosynthesis
bioplanet_732	Nucleotide-binding domain
bioplanet_733	Bile acids and bile salt biosynthesis
bioplanet_730	G-protein-independent seven transmembrane receptor signaling
bioplanet_731	Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling
bioplanet_78	Beta-arrestins in GPCR desensitization
bioplanet_79	Beta-arrestin-dependent recruitment of Src kinases in GPCR signaling
bioplanet_76	Attenuation of GPCR signaling
bioplanet_77	Stress fiber formation mediated by Rho-selective guanine exchange factor AKAP13
bioplanet_74	Tumor suppressor Arf inhibits ribosomal biogenesis
bioplanet_75	MAL role in Rho-mediated activation of SRF
bioplanet_72	Sonic Hedgehog (SHH) receptor PTCH1 regulation of cell cycle
bioplanet_73	Splicing regulation through Sam68
bioplanet_70	Influence of Ras and Rho proteins on G1 to S transition
bioplanet_71	Cyclins and cell cycle regulation
bioplanet_898	Generation of second messenger molecules
bioplanet_1419	Fibroblast growth factor 1
bioplanet_1418	Interleukin-1 regulation of extracellular matrix
bioplanet_1411	Activation of PUMA and translocation to mitochondria
bioplanet_1410	von Willebrand factor (vWF) interaction with collagen
bioplanet_1413	T cell receptor regulation of apoptosis
bioplanet_1415	Ghrelin pathway
bioplanet_1414	Oncostatin M
bioplanet_1417	Corticotropin releasing hormone pathway
bioplanet_1305	Androgen receptor proteolysis and transcription regulation
bioplanet_1304	S1P/S1P3 pathway
bioplanet_1306	Regulation of NFAT transcription factors
bioplanet_1301	Integrin family cell surface interactions
bioplanet_1300	HIF-2-alpha transcription factor network
bioplanet_1303	Beta-3 integrin cell surface interactions
bioplanet_1302	Alpha-E beta-7 integrin cell surface interactions
bioplanet_1309	Alpha-V beta-3 integrin/OPN pathway
bioplanet_1308	Ephrin receptor B forward pathway
bioplanet_857	Vitamin C (ascorbate) metabolism
bioplanet_856	Codeine and morphine metabolism
bioplanet_855	Ganglio sphingolipid metabolism
bioplanet_854	Vitamin B1 (thiamin) metabolism
bioplanet_853	Lipid metabolism regulation by peroxisome proliferator-activated receptor alpha (PPAR-alpha)
bioplanet_852	Peroxisomal lipid metabolism
bioplanet_851	Glycosphingolipid metabolism
bioplanet_850	Glycosaminoglycan metabolism
bioplanet_859	Alanine and aspartate metabolism
bioplanet_858	Integration of energy metabolism
bioplanet_1231	ERK inactivation
bioplanet_1230	ERK1 activation
bioplanet_1233	Eicosanoid ligand-binding G-protein coupled receptors
bioplanet_1232	PIP2 hydrolysis
bioplanet_1235	FGFR ligand binding and activation
bioplanet_1234	Energy-dependent regulation of mTOR by LKB1-AMPK
bioplanet_1237	FGFR1c and klotho ligand binding and activation
bioplanet_1236	FGFR1b ligand binding and activation
bioplanet_1239	FGFR3 ligand binding and activation
bioplanet_1238	FGFR2b ligand binding and activation
bioplanet_923	Semaphorin interactions
bioplanet_922	Platelet aggregation (plug formation)
bioplanet_921	CD28 co-stimulation
bioplanet_920	Sema4D-mediated inhibition of cell attachment and migration
bioplanet_927	Cell cycle negative regulation by p75 neurotrophin receptor
bioplanet_926	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon
bioplanet_925	IKK complex recruitment mediated by RIP1
bioplanet_924	TRAF6-mediated induction of TAK1 complex
bioplanet_929	Innate immune system
bioplanet_928	Regulated proteolysis of p75 neurotrophin receptor
bioplanet_453	GnRH signaling pathway
bioplanet_452	Insulin signaling pathway
bioplanet_451	Renin-angiotensin system
bioplanet_450	PPAR signaling pathway
bioplanet_1129	RNA polymerase II C-terminal domain phosphorylation and interaction with capping enzyme
bioplanet_1128	RNA polymerase III abortive and retractive initiation
bioplanet_455	Melanogenesis
bioplanet_454	Progesterone-mediated oocyte maturation
bioplanet_1125	RNA polymerase III transcription initiation From type 3 promoter
bioplanet_1124	RNA polymerase III transcription initiation from type 2 promoter
bioplanet_1127	RNA polymerase II promoter escape
bioplanet_458	Aldosterone-regulated sodium reabsorption
bioplanet_1121	RNA polymerase I transcription
bioplanet_1120	RNA polymerase I transcription initiation
bioplanet_1123	RNA polymerase III transcription termination
bioplanet_1122	RNA polymerase II transcription
bioplanet_638	Interleukin-23-mediated signaling events
bioplanet_637	Alpha-M beta-2 integrin signaling
bioplanet_636	LPA4-mediated signaling events
bioplanet_635	Interleukin-12-mediated signaling events
bioplanet_634	Interleukin-27-mediated signaling events
bioplanet_633	EPO receptor signaling
bioplanet_632	Kit receptor signaling pathway
bioplanet_631	Gastrin-CREB signaling pathway via PKC and MAPK
bioplanet_630	G beta-gamma signaling through PI3K gamma
bioplanet_147	Signal transduction through IL-1R
bioplanet_146	Interleukin-2 receptor beta chain in T cell activation
bioplanet_149	Melanocyte development and pigmentation pathway
bioplanet_148	Erythropoietin-mediated neuroprotection through NF-kB
bioplanet_709	Interleukin-3
bioplanet_708	PKA activation in glucagon signaling
bioplanet_703	p75 neurotrophin receptor-mediated signaling
bioplanet_702	Apoptosis modulation and signaling
bioplanet_701	Abl role in Robo-Slit signaling
bioplanet_700	Interleukin receptor SHC signaling
bioplanet_707	Activated NOTCH1 signaling in the nucleus
bioplanet_706	Angiotensin II-stimulated signaling through G-proteins and beta-arrestin
bioplanet_705	Recruitment of repair and signaling proteins to double-strand breaks
bioplanet_704	Netrin mediated repulsion signals
bioplanet_69	p27 phosphorylation regulation during cell cycle progression
bioplanet_68	Cell cycle progression regulation by PLK3
bioplanet_61	Control of cell cycle and breast tumor growth by estrogen-responsive protein Efp
bioplanet_60	Cdc25 and Chk1 regulatory pathway in response to DNA damage
bioplanet_63	Cell cycle: G2/M checkpoint
bioplanet_62	Cell cycle: G1/S checkpoint
bioplanet_65	Ran role in mitotic spindle regulation
bioplanet_64	CDK regulation of DNA replication
bioplanet_67	Stathmin and breast cancer resistance to antimicrotubule agents
bioplanet_66	Telomeres
bioplanet_1424	Gastrin pathway
bioplanet_1425	Interleukin-4 regulation of apoptosis
bioplanet_1426	Interleukin-5 regulation of apoptosis
bioplanet_1427	Interleukin-6 regulation of target genes
bioplanet_1420	RAGE pathway
bioplanet_1421	Interleukin-2 signaling pathway
bioplanet_1422	Interleukin-11 pathway
bioplanet_1423	Interleukin-3 regulation of hematopoietic cells
bioplanet_1428	Interleukin-7 interactions in immune response
bioplanet_1330	C-Myc pathway
bioplanet_1331	Interleukin-2/PI3K pathway
bioplanet_1332	p53 signaling pathway
bioplanet_1333	Androgen receptor regulation of biosynthesis and transcription
bioplanet_1334	E-cadherin nascent AJ-like junctions pathway
bioplanet_1335	Integrin beta-4 pathway
bioplanet_1337	Integrins in angiogenesis
bioplanet_1339	RXR/VDR pathway
bioplanet_567	Interleukin-5 signaling pathway
bioplanet_566	S6K1 signaling
bioplanet_840	One-carbon metabolism
bioplanet_842	Ketone body metabolism
bioplanet_843	Lipoprotein metabolism
bioplanet_844	Vitamin B12 metabolism
bioplanet_845	Phospholipid metabolism
bioplanet_846	Aflatoxin B1 metabolism
bioplanet_847	Urea cycle and metabolism of amino groups
bioplanet_848	Benzo(a)pyrene metabolism
bioplanet_849	Sulfur amino acid metabolism
bioplanet_568	AMPK signaling
bioplanet_1208	Defensins
bioplanet_1209	Serotonin receptors
bioplanet_1204	Unblocking of NMDA receptor
bioplanet_1205	Immunoregulatory interactions between a lymphoid and a non-lymphoid cell
bioplanet_1206	MHC class II antigen presentation
bioplanet_1207	Gene expression regulation in pancreatic beta cells
bioplanet_1200	Activation of NOXA and translocation to mitochondria
bioplanet_1201	Activation of BH3-only proteins
bioplanet_1202	CREB phosphorylation through the activation of CaMKK
bioplanet_1203	Acetylcholine binding and downstream events
bioplanet_938	Galactose catabolism
bioplanet_934	Histidine catabolism
bioplanet_935	Lysine catabolism
bioplanet_936	Phenylalanine and tyrosine catabolism
bioplanet_937	Digestion of dietary carbohydrate
bioplanet_930	Reversible hydration of carbon dioxide
bioplanet_931	Tryptophan catabolism
bioplanet_932	Urea cycle
bioplanet_933	Branched-chain amino acid catabolism
bioplanet_448	Gastric acid secretion
bioplanet_449	Pancreatic secretion
bioplanet_444	Cardiac muscle contraction
bioplanet_445	Vascular smooth muscle contraction
bioplanet_446	Dorso-ventral axis formation
bioplanet_447	Salivary secretion
bioplanet_440	Endocytotic role of NDK
bioplanet_441	Deregulation of CDK5 in Alzheimer's disease
bioplanet_442	Synaptic proteins at the synaptic junction
bioplanet_443	Prion pathway
bioplanet_1118	Antigen presentation: folding
bioplanet_1119	RNA polymerase I promoter opening
bioplanet_1110	Extracellular matrix organization
bioplanet_1111	Beta-catenin phosphorylation cascade
bioplanet_1112	Activation of matrix metalloproteinases
bioplanet_1113	HIV factor interactions with host
bioplanet_1114	Dopamine clearance from the synaptic cleft
bioplanet_1115	Reuptake of GABA
