GO:0004866	endopeptidase inhibitor activity
GO:0102084	L-dopa O-methyltransferase activity
GO:0047886	farnesol dehydrogenase activity
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000287	magnesium ion binding
GO:0008227	G protein-coupled amine receptor activity
GO:0004441	inositol-1,4-bisphosphate 1-phosphatase activity
GO:0004998	transferrin receptor activity
GO:0004447	iodide peroxidase activity
GO:0004445	inositol-polyphosphate 5-phosphatase activity
GO:0004994	somatostatin receptor activity
GO:0004995	tachykinin receptor activity
GO:0004996	thyroid-stimulating hormone receptor activity
GO:0004449	isocitrate dehydrogenase (NAD+) activity
GO:0004990	oxytocin receptor activity
GO:0008127	quercetin 2,3-dioxygenase activity
GO:0004992	platelet activating factor receptor activity
GO:0004993	G protein-coupled serotonin receptor activity
GO:0103045	methione N-acyltransferase activity
GO:0051019	mitogen-activated protein kinase binding
GO:0051018	protein kinase A binding
GO:0008281	sulfonylurea receptor activity
GO:0019799	tubulin N-acetyltransferase activity
GO:0005166	neurotrophin p75 receptor binding
GO:0051011	microtubule minus-end binding
GO:0051010	microtubule plus-end binding
GO:0008289	lipid binding
GO:0051015	actin filament binding
GO:0005427	proton-dependent oligopeptide secondary active transmembrane transporter activity
GO:0043924	suramin binding
GO:0008650	rRNA (uridine-2'-O-)-methyltransferase activity
GO:0008123	cholesterol 7-alpha-monooxygenase activity
GO:0008732	L-allo-threonine aldolase activity
GO:0034512	box C/D RNA binding
GO:0048039	ubiquinone binding
GO:0048038	quinone binding
GO:0016519	gastric inhibitory peptide receptor activity
GO:0061898	all-trans retinoic acid 3,4-desaturase activity
GO:0061899	11-cis-retinal 3,4-desaturase activity
GO:0090722	receptor-receptor interaction
GO:0061891	calcium ion sensor activity
GO:0070653	high-density lipoprotein particle receptor binding
GO:0061896	all-trans retinol 3,4-desaturase activity
GO:0061897	all-trans retinal 3,4-desaturase activity
GO:0004666	prostaglandin-endoperoxide synthase activity
GO:0008843	endochitinase activity
GO:0004197	cysteine-type endopeptidase activity
GO:0004190	aspartic-type endopeptidase activity
GO:0004663	Rab geranylgeranyltransferase activity
GO:0003896	DNA primase activity
GO:0004661	protein geranylgeranyltransferase activity
GO:0003899	DNA-directed 5'-3' RNA polymerase activity
GO:0004198	calcium-dependent cysteine-type endopeptidase activity
GO:0004668	protein-arginine deiminase activity
GO:0003972	RNA ligase (ATP) activity
GO:0016316	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity
GO:0004816	asparagine-tRNA ligase activity
GO:0001069	regulatory region RNA binding
GO:0008609	alkylglycerone-phosphate synthase activity
GO:0003878	ATP citrate synthase activity
GO:0015189	L-lysine transmembrane transporter activity
GO:0015188	L-isoleucine transmembrane transporter activity
GO:0003872	6-phosphofructokinase activity
GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity
GO:0003870	5-aminolevulinate synthase activity
GO:0008603	cAMP-dependent protein kinase regulator activity
GO:0003876	AMP deaminase activity
GO:0015180	L-alanine transmembrane transporter activity
GO:0015183	L-aspartate transmembrane transporter activity
GO:0015182	L-asparagine transmembrane transporter activity
GO:0032357	oxidized purine DNA binding
GO:0032356	oxidized DNA binding
GO:0001727	lipid kinase activity
GO:0070063	RNA polymerase binding
GO:0015218	pyrimidine nucleotide transmembrane transporter activity
GO:0070061	fructose binding
GO:0015265	urea channel activity
GO:0015214	pyrimidine nucleoside transmembrane transporter activity
GO:0015217	ADP transmembrane transporter activity
GO:0015216	purine nucleotide transmembrane transporter activity
GO:0015211	purine nucleoside transmembrane transporter activity
GO:0001729	ceramide kinase activity
GO:0015213	uridine transmembrane transporter activity
GO:0015212	cytidine transmembrane transporter activity
GO:0004068	aspartate 1-decarboxylase activity
GO:0004069	L-aspartate
GO:0030293	transmembrane receptor protein tyrosine kinase inhibitor activity
GO:0015267	channel activity
GO:0015052	beta3-adrenergic receptor activity
GO:0004060	arylamine N-acetyltransferase activity
GO:0004061	arylformamidase activity
GO:0004062	aryl sulfotransferase activity
GO:0004063	aryldialkylphosphatase activity
GO:0004064	arylesterase activity
GO:0004065	arylsulfatase activity
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity
GO:0004067	asparaginase activity
GO:0019211	phosphatase activator activity
GO:0019210	kinase inhibitor activity
GO:0019213	deacetylase activity
GO:0019212	phosphatase inhibitor activity
GO:0015431	ABC-type glutathione S-conjugate transporter activity
GO:0019962	type I interferon binding
GO:0015433	ABC-type peptide antigen transporter activity
GO:0015432	ABC-type bile acid transporter activity
GO:0070080	titin Z domain binding
GO:0015439	ABC-type heme transporter activity
GO:0070087	chromo shadow domain binding
GO:0035173	histone kinase activity
GO:0008520	L-ascorbate
GO:0102343	3-hydroxy-arachidoyl-CoA dehydratase activity
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity
GO:0106137	IkappaB kinase complex binding
GO:0140296	general transcription initiation factor binding
GO:0008995	ribonuclease E activity
GO:0071933	Arp2/3 complex binding
GO:0008518	folate
GO:0000832	inositol hexakisphosphate 5-kinase activity
GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0086056	voltage-gated calcium channel activity involved in AV node cell action potential
GO:0008514	organic anion transmembrane transporter activity
GO:0008517	folic acid transmembrane transporter activity
GO:0008510	sodium
GO:0008511	sodium
GO:0015382	sodium
GO:0015501	glutamate
GO:0140078	class I DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0070401	NADP+ binding
GO:0070403	NAD+ binding
GO:0070402	NADPH binding
GO:0140347	N-retinylidene-phosphatidylethanolamine flippase activity
GO:0004347	glucose-6-phosphate isomerase activity
GO:0070330	aromatase activity
GO:0070337	3'-flap-structured DNA binding
GO:0004802	transketolase activity
GO:0070335	aspartate binding
GO:0019807	aspartoacylase activity
GO:0047751	cholestenone 5-alpha-reductase activity
GO:0047750	cholestenol delta-isomerase activity
GO:0047757	chondroitin-glucuronate 5-epimerase activity
GO:0047756	chondroitin 4-sulfotransferase activity
GO:0062037	D-loop DNA binding
GO:0047714	galactolipase activity
GO:0047280	nicotinamide phosphoribosyltransferase activity
GO:0038047	morphine receptor activity
GO:0030291	protein serine/threonine kinase inhibitor activity
GO:0038048	dynorphin receptor activity
GO:0047288	monosialoganglioside sialyltransferase activity
GO:0016790	thiolester hydrolase activity
GO:0004803	transposase activity
GO:0052658	inositol-1,4,5-trisphosphate 5-phosphatase activity
GO:0052659	inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity
GO:0044715	8-oxo-dGDP phosphatase activity
GO:0052654	L-leucine transaminase activity
GO:0052655	L-valine transaminase activity
GO:0052656	L-isoleucine transaminase activity
GO:0052657	guanine phosphoribosyltransferase activity
GO:0052650	NADP-retinol dehydrogenase activity
GO:0061799	cyclic pyranopterin monophosphate synthase activity
GO:0047631	ADP-ribose diphosphatase activity
GO:0016742	hydroxymethyl-, formyl- and related transferase activity
GO:0070538	oleic acid binding
GO:0016740	transferase activity
GO:0043237	laminin-1 binding
GO:0016746	transferase activity, transferring acyl groups
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
GO:0032139	dinucleotide insertion or deletion binding
GO:0032138	single base insertion or deletion binding
GO:0032137	guanine/thymine mispair binding
GO:0070530	K63-linked polyubiquitin modification-dependent protein binding
GO:0032135	DNA insertion or deletion binding
GO:0047359	1-alkenyl-2-acylglycerol choline phosphotransferase activity
GO:0043995	histone acetyltransferase activity (H4-K5 specific)
GO:0046404	ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity
GO:0033882	choloyl-CoA hydrolase activity
GO:0033883	pyridoxal phosphatase activity
GO:0004462	lactoylglutathione lyase activity
GO:0046403	polynucleotide 3'-phosphatase activity
GO:0061708	tRNA-5-taurinomethyluridine 2-sulfurtransferase
GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0047134	protein-disulfide reductase activity
GO:0016167	glial cell-derived neurotrophic factor receptor activity
GO:0047131	saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity
GO:0016165	linoleate 13S-lipoxygenase activity
GO:0008424	glycoprotein 6-alpha-L-fucosyltransferase activity
GO:0140292	ADP-ribosylserine hydrolase activity
GO:0004801	sedoheptulose-7-phosphate
GO:0008111	alpha-methylacyl-CoA racemase activity
GO:0052600	propane-1,3-diamine oxidase activity
GO:0019981	interleukin-6 binding
GO:0004468	lysine N-acetyltransferase activity, acting on acetyl phosphate as donor
GO:0140481	ABC-type iron-sulfur cluster transporter activity
GO:0010857	calcium-dependent protein kinase activity
GO:0005112	Notch binding
GO:0071208	histone pre-mRNA DCP binding
GO:0016295	myristoyl-[acyl-carrier-protein] hydrolase activity
GO:0016296	palmitoyl-[acyl-carrier-protein] hydrolase activity
GO:0016297	acyl-[acyl-carrier-protein] hydrolase activity
GO:0016290	palmitoyl-CoA hydrolase activity
GO:0015126	canalicular bile acid transmembrane transporter activity
GO:0046538	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity
GO:0046539	histamine N-methyltransferase activity
GO:0016298	lipase activity
GO:0034596	phosphatidylinositol phosphate 4-phosphatase activity
GO:0071207	histone pre-mRNA stem-loop binding
GO:0008112	nicotinamide N-methyltransferase activity
GO:0001591	dopamine neurotransmitter receptor activity, coupled via Gi/Go
GO:1990450	linear polyubiquitin binding
GO:0017166	vinculin binding
GO:0017161	inositol-1,3,4-trisphosphate 4-phosphatase activity
GO:0015278	calcium-release channel activity
GO:0001018	mitochondrial promoter sequence-specific DNA binding
GO:0017162	aryl hydrocarbon receptor binding
GO:0001016	RNA polymerase III transcription regulatory region sequence-specific DNA binding
GO:1990459	transferrin receptor binding
GO:0017168	5-oxoprolinase (ATP-hydrolyzing) activity
GO:0140340	cerebroside transfer activity
GO:0042328	heparan sulfate N-acetylglucosaminyltransferase activity
GO:0061135	endopeptidase regulator activity
GO:0047621	acylpyruvate hydrolase activity
GO:0047620	acylglycerol kinase activity
GO:0004161	dimethylallyltranstransferase activity
GO:0030284	estrogen receptor activity
GO:0030283	testosterone dehydrogenase [NAD(P)] activity
GO:0097493	structural molecule activity conferring elasticity
GO:0030280	structural constituent of skin epidermis
GO:0140344	triglyceride transfer activity
GO:0120241	2-iminobutanoate/2-iminopropanoate deaminase
GO:0120243	2-iminopropanoate deaminase activity
GO:0120242	2-iminobutanoate deaminase activity
GO:0097161	DH domain binding
GO:0102344	3-hydroxy-behenoyl-CoA dehydratase activity
GO:0097163	sulfur carrier activity
GO:0097162	MADS box domain binding
GO:0008973	phosphopentomutase activity
GO:0016361	activin receptor activity, type I
GO:0016362	activin receptor activity, type II
GO:0042931	enterobactin transmembrane transporter activity
GO:0017018	myosin phosphatase activity
GO:0020037	heme binding
GO:0045509	interleukin-27 receptor activity
GO:0031005	filamin binding
GO:0017110	nucleoside-diphosphatase activity
GO:0061676	importin-alpha family protein binding
GO:0060072	large conductance calcium-activated potassium channel activity
GO:0035014	phosphatidylinositol 3-kinase regulator activity
GO:0034012	FAD-AMP lyase (cyclizing) activity
GO:0004531	deoxyribonuclease II activity
GO:0008198	ferrous iron binding
GO:0097383	dIDP diphosphatase activity
GO:0022894	Intermediate conductance calcium-activated potassium channel activity
GO:0002114	interleukin-33 receptor activity
GO:0033862	UMP kinase activity
GO:0086038	calcium
GO:0004940	beta1-adrenergic receptor activity
GO:0034386	4-aminobutyrate
GO:0033867	Fas-activated serine/threonine kinase activity
GO:0052869	arachidonic acid omega-hydroxylase activity
GO:0033737	1-pyrroline dehydrogenase activity
GO:0016706	2-oxoglutarate-dependent dioxygenase activity
GO:0097016	L27 domain binding
GO:1990698	palmitoleoyltransferase activity
GO:1990699	palmitoleyl hydrolase activity
GO:0035497	cAMP response element binding
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0098631	cell adhesion mediator activity
GO:0098632	cell-cell adhesion mediator activity
GO:0098633	collagen fibril binding
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0036440	citrate synthase activity
GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity
GO:0098639	collagen binding involved in cell-matrix adhesion
GO:0035758	chemokine (C-C motif) ligand 21 binding
GO:0070883	pre-miRNA binding
GO:0031711	bradykinin receptor binding
GO:0004859	phospholipase inhibitor activity
GO:0031715	C5L2 anaphylatoxin chemotactic receptor binding
GO:0004855	xanthine oxidase activity
GO:0070888	E-box binding
GO:0004857	enzyme inhibitor activity
GO:0035870	dITP diphosphatase activity
GO:0004850	uridine phosphorylase activity
GO:0004853	uroporphyrinogen decarboxylase activity
GO:0004852	uroporphyrinogen-III synthase activity
GO:0050649	testosterone 6-beta-hydroxylase activity
GO:0016661	oxidoreductase activity, acting on other nitrogenous compounds as donors
GO:0106351	aspartate dehydrogenase NAD activity
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity
GO:0004528	phosphodiesterase I activity
GO:0140616	iodotyrosine deiodinase activity
GO:0004525	ribonuclease III activity
GO:0000774	adenyl-nucleotide exchange factor activity
GO:0004527	exonuclease activity
GO:0004526	ribonuclease P activity
GO:0004521	endoribonuclease activity
GO:0004520	endodeoxyribonuclease activity
GO:0004523	RNA-DNA hybrid ribonuclease activity
GO:0004522	ribonuclease A activity
GO:0009922	fatty acid elongase activity
GO:0005035	death receptor activity
GO:0004655	porphobilinogen synthase activity
GO:0005030	neurotrophin receptor activity
GO:0005031	tumor necrosis factor-activated receptor activity
GO:0002020	protease binding
GO:0031779	melanocortin receptor binding
GO:0016170	interleukin-15 receptor binding
GO:0031821	G protein-coupled serotonin receptor binding
GO:0001760	aminocarboxymuconate-semialdehyde decarboxylase activity
GO:0009055	electron transfer activity
GO:0031826	type 2A serotonin receptor binding
GO:0015166	polyol transmembrane transporter activity
GO:0008035	high-density lipoprotein particle binding
GO:0043843	ADP-specific glucokinase activity
GO:0050135	NAD(P)+ nucleosidase activity
GO:0004381	fucosylgalactoside 3-alpha-galactosyltransferase activity
GO:0005215	transporter activity
GO:0005216	ion channel activity
GO:1990932	5.8S rRNA binding
GO:0005212	structural constituent of eye lens
GO:0004654	polyribonucleotide nucleotidyltransferase activity
GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
GO:0045515	interleukin-18 receptor binding
GO:0015464	acetylcholine receptor activity
GO:0050561	glutamate-tRNA(Gln) ligase activity
GO:0000293	ferric-chelate reductase activity
GO:0031624	ubiquitin conjugating enzyme binding
GO:0031625	ubiquitin protein ligase binding
GO:0000295	adenine nucleotide transmembrane transporter activity
GO:0070579	methylcytosine dioxygenase activity
GO:0032407	MutSalpha complex binding
GO:0103073	anandamide amidohydrolase activity
GO:0000298	endopolyphosphatase activity
GO:0031628	opioid receptor binding
GO:0004298	threonine-type endopeptidase activity
GO:0004983	neuropeptide Y receptor activity
GO:0004450	isocitrate dehydrogenase (NADP+) activity
GO:0004980	melanocyte-stimulating hormone receptor activity
GO:0032405	MutLalpha complex binding
GO:0004985	opioid receptor activity
GO:0004984	olfactory receptor activity
GO:0005452	inorganic anion exchanger activity
GO:0004458	D-lactate dehydrogenase (cytochrome) activity
GO:0005102	signaling receptor binding
GO:0005104	fibroblast growth factor receptor binding
GO:0005105	type 1 fibroblast growth factor receptor binding
GO:0140348	lysophosphatidylcholine flippase activity
GO:0035410	dihydrotestosterone 17-beta-dehydrogenase activity
GO:0071253	connexin binding
GO:0018773	acetylpyruvate hydrolase activity
GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
GO:1990595	mast cell secretagogue receptor activity
GO:0050483	IMP 5'-nucleotidase activity
GO:0008721	D-serine ammonia-lyase activity
GO:0008720	D-lactate dehydrogenase activity
GO:0047409	alkenylglycerophosphoethanolamine hydrolase activity
GO:0008725	DNA-3-methyladenine glycosylase activity
GO:0045127	N-acetylglucosamine kinase activity
GO:0008746	NAD(P)+ transhydrogenase activity
GO:0001642	group III metabotropic glutamate receptor activity
GO:0048040	UDP-glucuronate decarboxylase activity
GO:0001640	adenylate cyclase inhibiting G protein-coupled glutamate receptor activity
GO:0050254	rhodopsin kinase activity
GO:0050255	ribitol 2-dehydrogenase activity
GO:0050252	retinol O-fatty-acyltransferase activity
GO:0050253	retinyl-palmitate esterase activity
GO:0046899	nucleoside triphosphate adenylate kinase activity
GO:0050251	retinol isomerase activity
GO:0005368	taurine transmembrane transporter activity
GO:0120298	peptide noradrenalinyltransferase activity
GO:0035500	MH2 domain binding
GO:0090624	endoribonuclease activity, cleaving miRNA-paired mRNA
GO:0000170	sphingosine hydroxylase activity
GO:0004181	metallocarboxypeptidase activity
GO:0004180	carboxypeptidase activity
GO:0004185	serine-type carboxypeptidase activity
GO:0004675	transmembrane receptor protein serine/threonine kinase activity
GO:0003886	DNA (cytosine-5-)-methyltransferase activity
GO:0004677	DNA-dependent protein kinase activity
GO:0003884	D-amino-acid oxidase activity
GO:0003883	CTP synthase activity
GO:0003882	CDP-diacylglycerol-serine O-phosphatidyltransferase activity
GO:0004673	protein histidine kinase activity
GO:0004672	protein kinase activity
GO:0140412	zinc
GO:0004679	AMP-activated protein kinase activity
GO:1901640	XTP binding
GO:0004766	spermidine synthase activity
GO:0018114	threonine racemase activity
GO:0120295	histone serotonyltransferase activity
GO:0018112	proline racemase activity
GO:0086020	gap junction channel activity involved in SA node cell-atrial cardiac muscle cell electrical coupling
GO:0072590	N-acetyl-L-aspartate-L-glutamate ligase activity
GO:0008349	MAP kinase kinase kinase kinase activity
GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity
GO:1905060	calcium
GO:0001733	galactosylceramide sulfotransferase activity
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity
GO:0003863	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity
GO:0001730	2'-5'-oligoadenylate synthetase activity
GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity
GO:0005362	low-affinity glucose
GO:0043621	protein self-association
GO:0001734	mRNA (N6-adenosine)-methyltransferase activity
GO:0015220	choline transmembrane transporter activity
GO:0004768	stearoyl-CoA 9-desaturase activity
GO:0015225	biotin transmembrane transporter activity
GO:0015226	carnitine transmembrane transporter activity
GO:0015227	acyl carnitine transmembrane transporter activity
GO:0015228	coenzyme A transmembrane transporter activity
GO:1905577	ganglioside GP1c binding
GO:1905576	ganglioside GT1b binding
GO:0042978	ornithine decarboxylase activator activity
GO:1905575	ganglioside GM3 binding
GO:0004079	biotin-[methylmalonyl-CoA-carboxytransferase] ligase activity
GO:0004078	biotin-[methylcrotonoyl-CoA-carboxylase] ligase activity
GO:0042974	retinoic acid receptor binding
GO:0042975	peroxisome proliferator activated receptor binding
GO:0004075	biotin carboxylase activity
GO:0008900	potassium
GO:0008297	single-stranded DNA exodeoxyribonuclease activity
GO:0008296	3'-5'-exodeoxyribonuclease activity
GO:0004070	aspartate carbamoyltransferase activity
GO:0052798	beta-galactoside alpha-2,3-sialyltransferase activity
GO:1905059	calcium-transporting ATPase activity involved in regulation of postsynaptic cytosolic calcium ion concentration
GO:0052795	exo-alpha-(2->6)-sialidase activity
GO:0052794	exo-alpha-(2->3)-sialidase activity
GO:0052796	exo-alpha-(2->8)-sialidase activity
GO:0050577	GDP-L-fucose synthase activity
GO:0033961	cis-stilbene-oxide hydrolase activity
GO:0033735	aspartate dehydrogenase activity
GO:1901363	heterocyclic compound binding
GO:0044013	H2B histone acetyltransferase activity
GO:0008503	benzodiazepine receptor activity
GO:0090433	palmitoyl-CoA ligase activity
GO:0015086	cadmium ion transmembrane transporter activity
GO:0015087	cobalt ion transmembrane transporter activity
GO:0008507	sodium
GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
GO:0090434	oleoyl-CoA ligase activity
GO:0008504	monoamine transmembrane transporter activity
GO:0016997	alpha-sialidase activity
GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
GO:0008509	anion transmembrane transporter activity
GO:0008508	bile acid
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0050072	m7G(5')pppN diphosphatase activity
GO:0046870	cadmium ion binding
GO:0046873	metal ion transmembrane transporter activity
GO:0046872	metal ion binding
GO:0046875	ephrin receptor binding
GO:0004013	adenosylhomocysteinase activity
GO:0051870	methotrexate binding
GO:0140036	ubiquitin-dependent protein binding
GO:0047726	iron-cytochrome-c reductase activity
GO:0017077	oxidative phosphorylation uncoupler activity
GO:0043795	glyceraldehyde oxidoreductase activity
GO:0008545	JUN kinase kinase activity
GO:0017075	syntaxin-1 binding
